un_051030_0001#0,"""A.P.???/?/??/10:00"""
un_051030_0010#0,"""……そういえば、ドタバタしてて<br>聞くの忘れてたんだけどさ。"""
un_051030_0020#0,"""シャオくん、大きくなったよね？"""
un_051030_0030#0,"""あ、気付いてくれてたんだ。<br>誰にもそのこと聞かれないから<br>ちょっと不安だったんだよね。"""
un_051030_0040#0,"""きちんと成長してるように見せた方が<br>皆の心理を理解できるって思ってさ。<br>年相応に伸びてみたんだ。"""
un_051030_0050#0,"""ちなみに、私達を作り出した<br>二年前からこの姿になってました。<br>私は子供姿のシャオを知りません。"""
un_051030_0060#0,"""ふうん、子供のシャオくんねえ。<br>……さぞかし生意気そうな<br>容姿だったとみるけど、どうかな？"""
un_051030_0070#0,"""生意気そうに見えていたとしたら<br>それは、ぼくの縁者に<br>問題があったんだと思うよ。"""
un_051030_0080#0,"""そうなの？\u3000どうなの？"""
un_051030_0090#0,"""シャオくんの縁者って、サラだよね。<br>えーっと、そうだなぁ……"""
un_051030_0100#0,"""１．縁者のせいだろう"""
un_051030_0110#0,"""２．シャオが生意気なだけ"""
un_051030_0120#0,"""も、もうちょっと<br>オブラートに包もうよ！"""
un_051030_0130#0,"""おや、ストレートな意見だ。<br>ま、否定はしないよ。"""
un_051030_0140#0,"""ぼくの精神はサラを元にして<br>構築されたものだからね。<br>サラの性格の影響をもろに受けてる。"""
un_051030_0150#0,"""生意気そうに見えるのも<br>やけにさばさばしているのも<br>ぜーんぶ、サラの影響さ。"""
un_051030_0160#0,"""でも、縁者の子の影響を<br>全部受け入れてるってことは<br>シャオくんも気に入ってるってことだね？"""
un_051030_0170#0,"""それはノーコメント。<br>どう思うかは、自由だよ。"""
un_051030_0180#0,"""ま、成長してみて一番良かったのは<br>サラの頭を撫でられることかな。"""
un_051030_0190#0,"""サラ、嫌がるから<br>なおさら楽しいんだ。"""
