un_013070_0010#0,"""哎唷，你好。<br>你真是非常認真的ARKS。"""
un_013070_0020#0,"""為了表示對你的欽佩，<br>告訴你一個秘密情報。"""
un_013070_0030#0,"""ARKS裡面有個研究部。<br>實際情況從未公開，研究內容<br>基本上也列為保密。"""
un_013070_0040#0,"""而那個研究部不久之前<br>發生了一次相當重大的事故。"""
un_013070_0050#0,"""記得研究內容是......<br>對光子的研究，不，好像是<br>賦予後天性光子適合性的研究吧？"""
un_013070_0060#0,"""而如何研究，這部分我不清楚。<br>但因為研究出了什麼差錯<br>才會引發重大事故，這點倒是千真萬確。"""
un_013070_0070#0,"""然而，就連這項事故<br>基本上都沒有情報下達。<br>除非有人特地去收集。"""
un_013070_0080#0,"""組織就是這麼回事，<br>情報並不會自動到手。<br>而無法到手的情報，就稱之為秘密。"""
un_013070_0090#0,"""即使那是因為自己的怠惰<br>而造成的結果。"""
un_013070_0100#0,"""......嗯？　你問我為什麼要<br>將這個情報告訴你？"""
un_013070_0110#0,"""因為，你實在太認真了。<br>認真到會把我說的當真<br>然後在我面前做出很有趣的反應。"""
