msc_040350_0010#0,"""終わった……？"""
msc_040350_0020#0,"""いいえ、終わってない。<br>あれを見て。"""
msc_040350_0030#0,"""おやおや、これは驚いた。"""
msc_040350_0040#0,"""思ったより、やるじゃないか。<br>さすがはガーディアン、さっきの雑魚どもとは大違いだ。"""
msc_040350_0050#0,"""その姿。まさか、あなたは……！"""
msc_040350_0060#0,"""なぜ、ここにいる？"""
msc_040350_0070#0,"""お前は何者だ？"""
msc_040350_0080#0,"""なぜだろうね？\u3000僕がオルタレルムにいるのは。"""
msc_040350_0090#0,"""もう、察しはついているんだろう？"""
msc_040350_0100#0,"""調査隊のみんなを手にかけたのは、あなただったの!?<br>一体、どうして!!"""
msc_040350_0110#0,"""そんなに怖い顔をしないでくれよ、アイナ君。"""
msc_040350_0120#0,"""せっかく、ここまでたどり着いたんだ。<br>ご褒美に、“真実”を見せてあげないとね。"""
msc_040350_0130#0,"""……さて、どうする？<br>司令官殿に刃を向けるのかい？"""
msc_040350_0140#0,"""そんな……。<br>本当に、クロフォードなの……？"""
msc_040350_0150#0,"""……違う。<br>こいつ……スターレスよ。"""
msc_040350_0160#0,"""スターレス？"""
msc_040350_0170#0,"""間違いないわ。この嫌な感じ……<br>前に襲いかかってきたエネミーたちと同じだから。"""
msc_040350_0180#0,"""へぇ、気付いたか。"""
msc_040350_0190#0,"""……お前は……ふふっ、なるほど。"""
msc_040350_0200#0,"""まあ、いいさ。今はまだ、その時ではない。"""
msc_040350_0210#0,"""待って！\u3000あなたは、一体……！"""
msc_040350_0220#0,"""そうだな……オルタ・クロフォードとでも名乗ろうか。"""
msc_040350_0230#0,"""ふふ、そう焦る必要はない。<br>“計画”はもう始まっているのだから。"""
msc_040350_0240#0,"""……そのうち、もっと楽しめるさ。"""
msc_040350_0250#0,"""消えた……。"""
msc_040350_0260#0,"""オルタ……クロフォード……？"""
msc_040350_0270#0,"""調査隊のみんな……ごめんね。<br>あたしたちが、もっと早くたどり着けていたら……。"""
msc_040350_0280#0,"""慰めるわけじゃないけど……<br>悪いのはスターレスでしょ？\u3000あなたじゃない。"""
msc_040350_0290#0,"""うん、わかってる。けど……やっぱり悔しいよ。"""
msc_040350_0300#0,"""そうね。でも、これでわかったわ。<br>オルタレルムはただの未知の領域なんかじゃない。"""
msc_040350_0310#0,"""ハルファを模した、何らかの意図をもった場所で……<br>そしてここには、私たちの見知った者たちの姿をした敵がいる。"""
msc_040350_0320#0,"""さっきのあいつ、言ってたわね。<br>計画はもう始まっている……って。"""
msc_040350_0330#0,"""これで終わりじゃない。<br>むしろ、これが始まり、なんだよね。"""
msc_040350_0340#0,"""今回のことを報告しよう。"""
msc_040350_0350#0,"""戻って戦いに備えよう。"""
msc_040350_0360#0,"""そうね、調査隊のこと、偽者のこと……<br>報告しなければならないことは、たくさんあるわ。"""
msc_040350_0370#0,"""うん。調査隊のことや、偽者のことを<br>クロフォードに伝えないといけないしね。"""
msc_040350_0380#0,"""今度こそ、帰ろう。あたしたちのハルファへ。"""
name01#0,"""？？？"""
