IncidentName#0,"""ゲル・ブルフを迎撃せよ！"""
TrialBeginMsg#0,"""ゲル・ブルフを撃破、または回避せよ<br>時間内に撃破できず、$(0)回以上襲撃されたら失敗"""
TrialAbstract#0,"""ゲル・ブルフを撃破<br>または制限時間まで回避せよ"""
TrialOutbreak#0,"""$(0)がゲル・ブルフに襲撃された！"""
NpcComOnBegin#0,"""緊急連絡です。<br>ゲル・ブルフの出現を確認しました。"""
NpcComOnBeginAtRareCase#0,"""緊急連絡です。<br>ゲル・ブルフの出現を確認しました。"""
NpcComOnBeginEmplacement#0,"""フォトンキャノンを転送。<br>ゲル・ブルフを破壊できるはずですが<br>無理はせず回避を優先してください。"""
NpcComOnSuccess#0,"""/face2 ゲル・ブルフの反応、全て消失。<br>お見事です。"""
NpcComOnSuccessDestroy#0,"""/face2 ゲル・ブルフの破壊、成功しました。"""
NpcComOnFailure#0,"""/face4 ゲル・ブルフの影響による被害甚大！<br>被害許容範囲を超えました……。<br>残念です。"""
NpcComOnTarget#0,"""$(0)！\u3000注意してください！<br>貴方がターゲットにされています！"""
NpcComOnTime1#0,"""ゲル・ブルフの起動時間には<br>限界があります！<br>それまで凌ぎきってください！"""
NpcComOnTime2#0,"""その調子です！\u3000間もなく<br>ゲル・ブルフの活動限界です！<br>あと少し、凌いでください！"""
NpcComOnHit#0,"""/face2 フォトンキャノンの有効性を確認。<br>やはり、これなら対抗できる<br>みたいですね。"""
NpcComDeadEmplacement#0,"""破壊されたフォトンキャノンを<br>再度転送します。"""
NpcComOnRepop#0,"""ゲル・ブルフの再転送を確認！<br>各員、周囲への警戒を強めてください。"""
