name_7004#0,"""クロフォード"""
msn_031010_0010#0,"""今、大丈夫かい？<br>ちょっと、緊急の話があってね。"""
msn_031010_0020#0,"""ハルファのはるか上空で、<br>強力なエネルギーの振幅が確認された。"""
msn_031010_0030#0,"""ゼフェットが言っていた“ヴァエル”の再出現が、<br>近づいている可能性が高い。"""
msn_031010_0040#0,"""これに対して、対応可能なアークスを呼集して、<br>迎撃準備を進めている。"""
msn_031010_0050#0,"""キミには、その迎撃部隊の中核を担ってもらいたい。"""
msn_031010_0060#0,"""了解！"""
msn_031010_0070#0,"""任せて！"""
msn_031010_0080#0,"""うん。<br>その返事を聞けてよかった。"""
msn_031010_0090#0,"""引き続き、エネルギー反応の監視を続けていく。"""
msn_031010_0100#0,"""……それと、同時にハルファの各地で、<br>スターレスとの交戦報告が急増している。"""
msn_031010_0110#0,"""これには、各リージョンのアークスと、<br>エアリオで新編した部隊が共同で対応している。"""
msn_031010_0120#0,"""アイナ君やマノン君たちにも、<br>そちらの任にあたってもらう。"""
msn_031010_0130#0,"""キミは、“ヴァエル”のことだけに集中してくれ。<br>ガーディアン。"""
