LineDuel_DeckSelect_Title_Text#0,"""デッキ選択"""
LineDuel_DeckSelect_Message_Text#0,"""使用するデッキを選択してください。<br><yellow>※選択しない場合、30秒後に、<br>\u3000一番上のデッキが自動的に選択されます。<c>"""
LineDuel_DeckSelect_Message_Text_NPC#0,"""使用するデッキを選択してください。"""
LineDuel_Mulligan_Title_Text#0,"""手札の確認"""
LineDuel_Mulligan_Message#0,"""この手札でバトルを開始しますか？<br>一度だけ手札を引き直すことができます。<br><br><yellow>30秒後に、この手札でバトルを開始します。<c>"""
LineDuel_Mulligan_Message_NPC#0,"""この手札でバトルを開始しますか？<br>一度だけ手札を引き直すことができます。"""
LineDuel_Mulligan_Text1#0,"""開始する"""
LineDuel_Mulligan_Text2#0,"""手札を引き直す"""
LineDuel_Guide_Text1#0,"""決定"""
LineDuel_Guide_Text2#0,"""１つ前の状態に戻す"""
LineDuel_Guide_Text3#0,"""手札の確認"""
LineDuel_Guide_Text4#0,"""バトルの開始"""
LineDuel_Guide_Text5#0,"""降参/退出"""
LineDuel_Guide_Key1#0,"""<%Decide>"""
LineDuel_Guide_Key2#0,"""<%NextTabDetails>"""
LineDuel_Guide_Key3#0,"""<%TabBack><pict 4space>/<pict 4space><%TabForward>"""
LineDuel_Guide_Key4#0,"""<%Function>"""
LineDuel_Guide_Key5#0,"""<swguidetype BluePrintEscMenu>"""
LineDuel_SpectatorGuide_Text1#0,"""退出"""
LineDuel_SpectatorGuide_Key1#0,"""<swguidetype BluePrintEscMenu>"""
LineDuel_SpectatorGuide_Text2#0,"""倍速再生"""
LineDuel_SpectatorGuide_Text2_2#0,"""等倍再生"""
LineDuel_SpectatorGuide_Key2#0,"""<%MultiSelect>"""
LineDuel_SpectatorGuide_Key2_2#0,"""<%ChangeCtrlWindowForward>"""
LineDuel_Battle_Surrender_Title#0,"""メッセージ"""
LineDuel_Battle_Exit_Title#0,"""メッセージ"""
LineDuel_Battle_Surrender_Message#0,"""降参しますか？"""
LineDuel_Battle_Surrender_Error#0,"""拠点が、1つも破壊されていないため、<br>降参することはできません。"""
LineDuel_Battle_Exit_Message#0,"""この場から退出しますか？"""
LineDuel_Battle_WithWarningCaneclRematch_Message#0,"""この場から退出しますか？<br><yellow>※再戦のリクエストはキャンセルされます。<c>"""
LineDuel_Battle_ExitWithWarningCancelMatchmaking_Message#0,"""この場から退出しますか？<br><yellow>※マッチングはキャンセルされます。<c>"""
LineDuel_Result_Title_Text#0,"""対戦結果"""
LineDuel_Result_Reward#0,"""報酬"""
LineDuel_Result_DailyReward#0,"""ウィークリー獲得報酬"""
LineDuel_Result_DailyRewardNum#0,"""$(0)/$(1)"""
LineDuel_Result_Rate#0,"""レート"""
LineDuel_Result_Continue#0,"""場に戻る"""
LineDuel_Result_End#0,"""退出する"""
LineDuel_Result_Remach#0,"""再戦する"""
LineDuel_RateNum_Gain#0,"""<pict ld_rateicon>$(0)(+$(1))"""
LineDuel_RateNum_Lose#0,"""<pict ld_rateicon>$(0)($(1))"""
LineDuel_RateNum_InProgress#0,"""確認中"""
LineDuel_RateNum_None#0,"""-"""
LineDuel_ItemNum#0,"""$(0)×$(1)"""
LineDuel_Result_Message_Win#0,"""対戦で、勝利しました。"""
LineDuel_Result_Message_Lose#0,"""対戦で、敗北しました。"""
LineDuel_Result_Message_Draw#0,"""対戦は、引き分けになりました。"""
LineDuel_Result_Message_Retire#0,"""対戦相手が退出したため、<br>この対戦は無効になりました。"""
Popup_NameTextWithTitle#0,"""$(0)$(1)：$(2) $(3)"""
Popup_NameTextNoTitle#0,"""$(0)$(1)：$(2)"""
Popup_OverrapNameTextWithTitle#0,"""$(0)<yellow>$(1)<c>：$(2) $(3)"""
Popup_OverrapNameTextNoTitle#0,"""$(0)<yellow>$(1)<c>：$(2)"""
MatchingErrorDisconnectTitle#0,"""マッチングエラー"""
MatchingErrorDisconnectMessage#0,"""マッチングがキャンセルされました。"""
UnknownDisconnectTitle#0,"""エラー"""
UnknownDisconnectWindowMessage#0,"""エラーが発生しました。"""
VSWidget_NameTextForRankMatch#0,"""$(0) ( <pict ld_rateicon>$(1) )"""
VSWidget_NpcTitle#0,"""NPC"""
LineDuel_PlayError_Element#0,"""属性が異なるためリライト召喚できません。"""
LineDuel_PlayError_RewriteCost#0,"""消費PPが、上書き前のカードより少ないためリライト召喚できません。"""
LineDuel_PlayError_Cost#0,"""PPが足りません。"""
LineDuel_PlayError_AlreadyPlay#0,"""同じターン中に、同じマスにはリライト召喚できません。"""
LineDuel_PlayError_CellSeal#0,"""“召喚封印”の効果により、召喚できません。"""
LineDuel_Mulligan_Execute#0,"""手札を引き直しました。"""
LineDuel_Mulligan_RewriteShortage#0,"""消費PPが、上書き前のカードより少ないためリライト召喚できません。"""
LineDuel_Rematch_Toast#0,"""対戦相手から再戦のリクエストがありました。"""
LineDuel_Rematch_Title#0,"""再戦の確認"""
LineDuel_Rematch_Message#0,"""対戦相手から再戦をリクエストされました。<br>もう一度対戦しますか？"""
LineDuel_Rematch_Denay_Title#0,"""再戦の確認"""
LineDuel_Rematch_Denay_Message#0,"""相手が再戦を辞退しました。<br>この場から退出しますか？"""
LineDuel_Rematch_Watching_Title#0,"""メッセージ"""
LineDuel_Rematch_Watching_Message#0,"""同じプレイヤー同士で、対戦が開始されました。<br>引き続き観戦しますか？"""
LineDuel_Rematch_Watching_Title2#0,"""メッセージ"""
LineDuel_Rematch_Watching_Message2#0,"""いずれかのプレイヤーが退出したため、<br>次の対戦はありません。<br>この場から退出しますか？"""
LineDuel_Title_Text#0,"""ラインストライク"""
LineDuel_Menu_Category1#0,"""対戦"""
LineDuel_Menu_Category2#0,"""パーソナルデータ"""
LineDuel_CasualMatch#0,"""アンレートバトル"""
LineDuel_RankMatch#0,"""レートバトル"""
LineDuel_NPCBattle#0,"""対NPCバトル"""
LineDuel_FreeBattleInvitation#0,"""フリーバトルの受付確認"""
LineDuel_RoomList#0,"""バトルの観戦"""
LineDuel_RoomList_Text1#0,"""対戦形式"""
LineDuel_RoomList_Text2#0,"""ターン"""
LineDuel_RoomList_Text3#0,"""レート"""
RoomList_RateSlash#0,"""$(0) / $(1)"""
LineDuel_FreeBattle#0,"""フリーバトル"""
LineDuel_AllBattle#0,"""すべてのバトル"""
LineDuel_Deck_Title_Text#0,"""デッキリスト"""
LineDuel_GradesScreen_Title_Text#0,"""対戦記録"""
LineDuel_DeckList_Title_Text#0,"""デッキリスト"""
LineDuel_PopUp1#0,"""編集"""
LineDuel_PopUp2#0,"""デッキの設定"""
LineDuel_PopUp3#0,"""初期化"""
LineDuel_PopUp4#0,"""コピー"""
LineDuel_PopUp5#0,"""貼り付け"""
LineDuel_CardList_Title_Text#0,"""カードリスト"""
LineDuel_Details_Title_Text#0,"""カード詳細"""
LineDuel_SkillDetails_Title_Text#0,"""スキル詳細"""
LineDuel_DeckList_Help_Text#0,"""デッキリスト内のカードを選択すると、リストからカードを外すことができます。"""
LineDuel_DeckName_Text#0,"""デッキ名"""
LineDuel_Sleeve_Text#0,"""カードスリーブの設定"""
LineDuel_PlayMat_Text#0,"""プレイマットの設定"""
LineDuel_BoardSurface_Text#0,"""プレイマットのマスの透過設定"""
LineDuel_Preview_Title_Text#0,"""プレビュー"""
LineDuel_Initialization_Title#0,"""メッセージ"""
LineDuel_Initialization_Message#0,"""このデッキを初期化しますか？"""
LineDuel_Initialization_Copy#0,"""デッキの内容を一時的に保存しました。"""
LineDuel_Copy_Message#0,"""$(0)の内容を$(1)にコピーしますか？"""
LineDuel_Initialization_Paste#0,"""デッキをコピーしました。"""
LineDuel_Initialization_PasteError#0,"""デッキがコピーできませんでした。"""
LineDuel_MatchResults_Title_Text#0,"""最近の対戦結果"""
LineDuel_MatchResults_EmptyText#0,"""対戦結果がありません"""
LineDuel_MatchResults_Text1#0,"""プレイヤーIDネーム/日時"""
LineDuel_MatchResults_Text2#0,"""対戦形式/結果"""
LineDuel_MatchResults_FilterAll#0,"""すべてのバトル"""
LineDuel_GradesScreen_Header#0,"""戦績"""
LineDuel_GradesScreen_WinNum_Text#0,"""マッチング別の勝利数"""
LineDuel_GradesScreen_WinRate_Text#0,"""最近の勝率"""
LineDuel_GradesScreen_CurrentRate_Text#0,"""現在のレート"""
LineDuel_GradesScreen_HighestRate_Text#0,"""過去の最高レート"""
LineDuel_Num#0,"""<pict ld_rateicon>$(0)"""
LineDuel_PercentNum#0,"""$(0)%"""
LineDuel_WinNum#0,"""$(0)勝"""
LineDuel_MatchResults_WIN#0,"""勝利"""
LineDuel_MatchResults_LOSE#0,"""敗北"""
LineDuel_MatchResults_DRAW#0,"""引き分け"""
LineDuel_NPCBattle_Strength_Text0#0,"""ビギナー"""
