OpenSpace#0,"""OpenSpace"""
WeaponShop#0,"""WeaponShop"""
ShieldShop#0,"""ShieldShop"""
ToolShop#0,"""ToolShop"""
ClothesShop#0,"""ClothesShop"""
RightStairs#0,"""RightStairs"""
LeftStairs#0,"""LeftStairs"""
MyRoom#0,"""MyRoom"""
Park#0,"""Park"""
Lab#0,"""Lab"""
QuestCounter#0,"""QuestCounter"""
MainStage#0,"""MainStage"""
StageSquare#0,"""StageSquare"""
WestBalcony#0,"""WestBalcony"""
EastBalcony#0,"""EastBalcony"""
FountainSquare#0,"""FountainSquare"""
CafeLounge#0,"""CafeLounge"""
WestSidePassage#0,"""WestSidePassage"""
SouthSidePassage#0,"""SouthSidePassage"""
EastSidePassage#0,"""EastSidePassage"""
MonumentSquare#0,"""MonumentSquare"""
WestShopSquare#0,"""WestShopSquare"""
EastShopSquare#0,"""EastShopSquare"""
StairSquare#0,"""StairSquare"""
WestSideLounge#0,"""WestSideLounge"""
EastSideLounge#0,"""EastSideLounge"""
2FWestLounge#0,"""2FWestLounge"""
ItemLab#0,"""ItemLab"""
2FEastLounge#0,"""2FEastLounge"""
3FWestPassage#0,"""3FWestPassage"""
3FEastPassage#0,"""3FEastPassage"""
3FLounge#0,"""3FLounge"""
AirLounge#0,"""AirLounge"""
GateSquare#0,"""GateSquare"""
EastQuestCounter#0,"""EastQuestCounter"""
WestQuestCounter#0,"""WestQuestCounter"""
EVSquare#0,"""EVSquare"""
CentralLobby#0,"""CentralLobby"""
MedicalCenter#0,"""MedicalCenter"""
ArksCounter#0,"""ARKSCounter"""
EastStair#0,"""EastStair"""
WestStair#0,"""WestStair"""
2FEastWaitingArea#0,"""2FEastWaitingArea"""
2FWestWaitingArea#0,"""2FWestWaitingArea"""
OpenSpace#1,"""広場付近"""
WeaponShop#1,"""武器ショップ"""
ShieldShop#1,"""防具ショップ"""
ToolShop#1,"""道具ショップ"""
ClothesShop#1,"""服ショップ"""
RightStairs#1,"""右階段"""
LeftStairs#1,"""左階段"""
MyRoom#1,"""マイルーム"""
Park#1,"""公園"""
Lab#1,"""ラボ"""
QuestCounter#1,"""クエストカウンター"""
MainStage#1,"""ステージ場"""
StageSquare#1,"""ステージ前広場"""
WestBalcony#1,"""西バルコニー"""
EastBalcony#1,"""東バルコニー"""
FountainSquare#1,"""西休憩広場"""
CafeLounge#1,"""東休憩広場"""
WestSidePassage#1,"""西外周通路"""
SouthSidePassage#1,"""南外周通路"""
EastSidePassage#1,"""東外周通路"""
MonumentSquare#1,"""モニュメント前"""
WestShopSquare#1,"""西ショップ広場"""
EastShopSquare#1,"""東ショップ広場"""
StairSquare#1,"""階段前広場"""
WestSideLounge#1,"""西ラウンジ"""
EastSideLounge#1,"""東ラウンジ"""
2FWestLounge#1,"""２階西ラウンジ"""
ItemLab#1,"""アイテムラボ前"""
2FEastLounge#1,"""２階東ラウンジ"""
3FWestPassage#1,"""３階西エレベーター前通路"""
3FEastPassage#1,"""３階東エレベーター前通路"""
3FLounge#1,"""３階エレベーター前ラウンジ"""
AirLounge#1,"""３階空中広場"""
GateSquare#1,"""ゲート前広場"""
EastQuestCounter#1,"""東クエストカウンター前"""
WestQuestCounter#1,"""西クエストカウンター前"""
EVSquare#1,"""エレベーター前広場"""
CentralLobby#1,"""中央ロビー"""
MedicalCenter#1,"""メディカルセンター"""
ArksCounter#1,"""アークスカウンター"""
EastStair#1,"""東階段"""
WestStair#1,"""西階段"""
2FEastWaitingArea#1,"""２階東待機所"""
2FWestWaitingArea#1,"""３階西待機所"""
0#0,"""Normal"""
1#0,"""Clear"""
2#0,"""Cloudy"""
3#0,"""Heavy Rain"""
4#0,"""Thunderstorm"""
5#0,"""Heavy Fog"""
6#0,"""Gas Eruptions"""
7#0,"""Sparks"""
8#0,"""Thermal Waves"""
9#0,"""Photoflies"""
10#0,"""Rainbow"""
11#0,"""Dust Cloud"""
12#0,"""Strong Wind"""
13#0,"""Blackout"""
14#0,"""Emergency Lights"""
15#0,"""weather015"""
16#0,"""weather016"""
17#0,"""Magnetic Storm"""
18#0,"""Meteor Shower"""
19#0,"""weather019"""
20#0,"""weather020"""
21#0,"""Blizzard"""
22#0,"""Aurora"""
23#0,"""Electrical Discharge"""
24#0,"""Microminerals"""
25#0,"""Dance of the Butterflies"""
26#0,"""weather026"""
27#0,"""weather027"""
28#0,"""weather028"""
29#0,"""weather029"""
30#0,"""Eclipse"""
39#0,"""Black Particles"""
40#0,"""Rainbow Light"""
41#0,"""weather041"""
42#0,"""weather042"""
43#0,"""weather043"""
44#0,"""Thundercloud"""
45#0,"""Dragon Soul Fog"""
46#0,"""weather046"""
47#0,"""weather047"""
48#0,"""weather048"""
49#0,"""Downpour"""
50#0,"""Waterfall"""
55#0,"""Red Dust"""
59#0,"""Dim Light"""
60#0,"""Deep Snow"""
0#1,"""平常"""
1#1,"""晴れ"""
