text01#0,"""Ranger กับ Grenade Launcher นั้น<br>เรียกว่าแยกจากกันไม่ได้เลย"""
text02#0,"""Grenade Launcher เป็นอาวุธระยะไกลที่ดีมากเลยนะ<br>พลังทำลายของมันก็รุนแรงมาก <br>ยิงไปที่ไหนก็ตูม~ ระเบิดตายหมด!"""
text03#0,"""แรงระเบิดจาก Grenade Launcher <br>ทำให้ทุกสิ่งทุกอย่างปลิวไปได้ไกลเลยทีเดียว <br>เห็นแล้วมันช่างสดชื่นจริงๆ!"""
text04#0,"""เพราะงั้นลองใช้ Grenade Launcher ดูหน่อยไหม?<br>เอาของชั้นไปใช้ซิ ถนอมๆมันหน่อยล่ะ"""
text05#0,"""แทนที่จะมานั่งเรียนรู้ลองเอาไปปฏิบัติจริง<br>อย่างเช่นการยิงร่างกายของศัตรูให้ตาย<br>อย่างทรมาณจะดีกว่านะ"""
text06#0,"""Grenade Launcher"""
text07#0,"""Grenade Launcher เป็นอาวุธระยะไกลที่โจมตีศัตรูเป็นวงกว้างได้อย่างรุนแรง"""
text08#0,"""ลองใช้การโจมตีพื้นฐานด้วย Grenade Launcher พร้อมกับ Photon Move"""
text01#1,"""レンジャーといえば、ランチャー<br>これも外せませんねえ。"""
text02#1,"""遠距離用の武器と侮るなかれ<br>威力、すっごいですよお。<br>どっかーん、ですからねえ。"""
text03#1,"""爆発も起きて、周りも巻き込んで<br>一切合切すべて吹き飛ばしたり<br>出来ちゃいますから、爽快ですよお。"""
text04#1,"""ランチャー、使ってみたいですかあ？<br>なら、これをあげますよお。<br>リサの使ってた、いわくつきです。"""
text05#1,"""いろいろお勉強するよりも、実際に<br>触って撃って苦しめて殺した方が<br>さくっと身につきますからねえ。"""
text06#1,"""『ランチャー』について"""
text07#1,"""武器「ランチャー」について、説明します。<br><br>ランチャーは、広範囲の敵を巻き込んで攻撃する<br>高い威力の範囲攻撃が可能な射撃武器です。"""
text08#1,"""ランチャー系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。"""
