un_020640_0010#0,"""คิดๆ แล้วเราก็เข้ามาลึกเหมือนกันนะเนี่ย......<br>และในที่สุดเราก็มาถึง Dragon Altar แล้ว!<br>Pati จังเองค่า!"""
un_020640_0020#0,"""ประโยคพูดก่อนหน้ากับคำทักทายตอน<br>หลังสุดไม่เห็นจะเกี่ยวอะไรกันเลย......<br>อ๊ะ สวัสดีค่ะ Tia ค่ะ"""
un_020640_0030#0,"""ก็แนะนำสถานที่พร้อมแนะนำตัวเอง<br>ยิงนัดเดียวได้นกสองตัวเลยใช่ม้า"""
un_020640_0040#0,"""แหม แต่ที่นี่คือ Dragon Altar สถานที่ๆ เรียก<br>กันว่าดินแดนศักดิ์สิทธิ์ของ Dragorii เหรอ<br>ไม่นึกไม่ฝันมาก่อนเลยนะว่าจะได้เข้ามาที่นี่น่ะ"""
un_020640_0050#0,"""นั่นสินะ คงเพราะเราช่วยเหลือ Dragorii<br>ที่ถูก Darker กัดกินเอาไว้ได้<br>เค้าก็เลยเริ่มเชื่อใจเราขึ้นมาบ้างล่ะมั้ง"""
un_020640_0060#0,"""นี่ก็เพราะเธอคนเดียวเลยนะรู้ปะ?<br>ที่ช่วยเหลือพวก Dragorii <br>โดยที่ไม่ต้องการอะไรตอบแทน"""
un_020640_0070#0,"""เป็นเพราะผู้เฒ่าประจำเผ่ายอมรับคุณ<br>ARKS ทั่วไปอย่างพวกชั้น<br>ถึงสามารถเข้ามายังที่แบบนี้ได้"""
un_020640_0080#0,"""นับเป็นเรื่องที่คุณควรภูมิใจจริงๆ นะคะ<br>......แต่ดูเหมือนพวก ARKS ระดับสูงๆ<br>จะแปลกใจที่มีเรื่องแบบนี้เกิดขึ้น"""
un_020640_0090#0,"""เสียมารยาทจริงๆ เลยเนอะ<br>คนที่สร้างสัมพันธไมตรีกับ Dragorii ได้แบบ<br>เค้าเนี่ยควรจะยกย่องให้เป็นฮีโร่ด้วยซ้ำ!"""
un_020640_0100#0,"""แต่ถึงจะอย่างนั้นความประมาทก็เป็นสิ่งต้องห้าม<br>เพราะเห็นว่าเผ่า Dragorii นี่ ไม่ได้มีแค่ฝ่ายเดียว<br>เด็กผู้หญิงที่เจอเมื่อตะกี๊บอกเอาไว้"""
un_020640_0110#0,"""เพราะพวกเผ่า Dragorii ที่ตั้งตัวเป็นศัตรู<br>กับ ARKS ก็ยังมีอยู่ จึงควรจะต้องค่อยๆ <br>สำรวจไปอย่างระมัดระวังตัว น่ะ!"""
un_020640_0120#0,"""แต่สำหรับพวกชั้นแล้ว การที่ต้องนั่งฟัง<br>เรื่องของ Dragorii ต่อหลังจากนั้นอีกเกือบ<br>หนึ่งชั่วโมงเต็มนี่เล่นเอาแทบแย่เลยจริงๆ นะ"""
un_020640_0010#1,"""思えば奥まで来たもんだ……<br>ということでやってきました龍祭壇！<br>パティちゃんですよー！"""
un_020640_0020#1,"""最後の挨拶とその前の台詞に<br>何の関連性も無いんだけど……<br>あ、どうも、ティアです。"""
un_020640_0030#1,"""場所の案内とあたしの案内<br>一緒にやれて、一石二鳥でしょ。"""
un_020640_0040#1,"""いやー、しかし龍族の聖地って<br>言われていた龍祭壇かー。<br>まさか入れるなんて思わなかったよ。"""
un_020640_0050#1,"""そうだね。ダーカーの影響を受けた<br>龍族への対応という目的はあるにせよ<br>こっちを信頼してくれてるみたい。"""
un_020640_0060#1,"""これ、アナタのおかげなんだよ？<br>龍族の信頼を勝ち取ってくれたのは<br>お世辞でもなんでもなく、アナタ。"""
un_020640_0070#1,"""老龍族が認めてくれたから<br>あなたや、あなたが所属するアークスの<br>私たちをこの場に招いてくれてる。"""
un_020640_0080#1,"""その功績は胸を張っていいと思う。<br>……アークスの上層部からみると<br>なんか怪しんでいる感じみたいだけど。"""
un_020640_0090#1,"""失礼だよねー。<br>龍族とのわだかまりをといてくれた<br>いわゆるひとつの英雄なのにさー！"""
un_020640_0100#1,"""といっても油断は禁物！<br>龍族だって一枚岩じゃ無いんだって<br>さっき会った女の人が言ってたよー。"""
un_020640_0110#1,"""まだまだアークスに対して<br>敵愾心を持つ龍族もいるから<br>気をつけて進むんだぞ、って！"""
un_020640_0120#1,"""私たちとしては、そのあと<br>小一時間は続いた龍族うんちくに<br>心が折れそうになったけどね。"""
