11_voice_NPC_5021_100#0,"""เยี่ยมไปเลย เยี่ยมไปเลย <br>ท่านเก่งที่สุด <br>ทีนี้ข้าก็หายกังวลใจแล้ว"""
text02#0,"""Partner cards อนุญาติให้ท่านเชิญคน<br>ที่อยู่ในการ์ดเข้าร่วมเควสของท่านด้วย <br>แม้จะเริ่มเควสไปแล้วก็ตาม"""
text03#0,"""หือ มันทำให้ข้านึกถึงวันเก่าๆอีกครั้ง..."""
tutorial00#0,"""[เกี่ยวกับ ClientOrder]"""
tutorial01#0,"""ปรากฏ Client Order Request จาก Marlu<br><br>Marlu อยู่ที่ GateArea - CentralHall"""
tutorial02#0,"""ปรากฏ Client Order Request จาก Oza<br><br>Oza อยู่ที่ GateArea - CentralHall"""
tutorial03#0,"""ปรากฏ Client Order Request จาก Risa<br><br>Risa อยู่ที่ GateArea - CentralHall"""
tutorial04#0,"""ปรากฏ Client Order Request จาก Azanami<br><br>Azanami อยู่ที่ GateArea - CentralHall"""
11_voice_NPC_5021_100#1,"""うむ、よろしい！<br>やはり君は優秀なアークスだな。<br>杞憂で済んでよかった。"""
text02#1,"""パートナーカードを持っていれば<br>クエスト開始後に、冒険に誘うことが<br>可能なのだぞ。忘れるなよ。"""
text03#1,"""いいか、私も多くのパートナーと……"""
tutorial00#1,"""『クライアントオーダー』について"""
tutorial01#1,"""マールーにクライアントオーダーが発生しました。<br><br>マールーはゲートエリア・中央ホールにいます。"""
tutorial02#1,"""オーザにクライアントオーダーが発生しました。<br><br>オーザはゲートエリア・中央ホールにいます。"""
tutorial03#1,"""リサにクライアントオーダーが発生しました。<br><br>リサはゲートエリア・中央ホールにいます。"""
tutorial04#1,"""アザナミにクライアントオーダーが発生しました。<br><br>アザナミはゲートエリア・中央ホールにいます。"""
