st_065020_0001#0,"""A.P.242/3/29"""
st_065020_0010#0,"""あ、あれって……<br>レギアスさんとアルマさん？"""
st_065020_0020#0,"""次の戦いは、アークスにとって<br>大きな意味を持つ戦いとなる。<br>勝たねばならぬ、戦いだ。"""
st_065020_0030#0,"""……うん、そうだね。<br>負けたらそこでおしまい、だもんね。"""
st_065020_0040#0,"""私は、アークスの皆を守るために<br>この身を捨てる覚悟で戦いに挑む。"""
st_065020_0050#0,"""……否。覚悟、ではないな。<br>おそらくそれは現実のこととなる。"""
st_065020_0060#0,"""……うん、わかってるよ。<br>止めても無駄ってこともわかってる。<br>ギーくん、いっつもそうだもんね。"""
st_065020_0070#0,"""……お前との約束、果たせぬまま<br>倒れるであろうことを心苦しく思う。"""
st_065020_0080#0,"""だが、それでもなさねばならん。<br>未来への道筋は、我ら老兵の礎<br>その先にあるべきだからだ。"""
st_065020_0090#0,"""願わくば、我々が紡ぐ未来を<br>見届けていってほしい。"""
st_065020_0100#0,"""それが、たった一つの約束すら<br>満足に守れぬ不甲斐ない男の<br>最後の願いだ。"""
st_065020_0110#0,"""……そんなことないよ、ギーくん。"""
st_065020_0120#0,"""あなたはもう十分に<br>約束を果たしてくれたよ。<br>わたしは本当に、胸がいっぱい。"""
st_065020_0130#0,"""姿が見えなくても、心は繋がってる。<br>最後の願いになんて、させないよ。<br>あなたを一人には……させないから。"""
