11_voice_NPC_5227_100#0,"""あ、ちょうどよかった。<br>これ……あげるわ。"""
favs_before_020#0,"""大したものじゃないから<br>遠慮しなくていいわよ。"""
favs_after_010#0,"""急になんでかって？<br>ほら……色々と迷惑かけちゃったし<br>世話にもなったから。"""
favs_after_020#0,"""その謝罪ってわけじゃないけど<br>お礼も兼ねてってことで……"""
favs_after_030#0,"""も、もういいでしょ！<br>さっさと、任務にでも行きなさい！"""
skit_item_present_5227_010#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_020#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_030#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_040#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_050#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_060#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_070#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_080#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_090#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
skit_item_present_5227_100#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
favs_present_add_001#0,"""ユクリータから『<%skit_text>』を受け取りました。"""
mb25_after_010#0,"""なんだか妙な感じよね。<br>あたしがアークスシップにいるなんて。"""
mb25_after_020#0,"""居心地が悪いのは確かだけど<br>そこについては、仕方ないと思うわ。<br>あたしはアークスの敵だったしね。"""
mb25_after_030#0,"""ともかく、あたしは大丈夫だから。<br>その……気にかけてくれるのは<br>ありがたいと思ってるわ。"""
mb25_after_040#0,"""と、ともかく……！<br>油売ってる暇があるなら休むなりして<br>自分をいたわりなさい、いいわね。"""
11_voice_NPC_5227_100#1,"""ん……ああ、戻ってきたんだ。"""
st01_020#0,"""身体の調子は……大丈夫そうね。<br>アウロラも何も言ってこないし<br>上手く浄化できてるんじゃない？"""
st01_030#0,"""あたしへの挨拶は良いから<br>他の人に会ってきなさいよ。<br>みんな、会いたがってたわよ。"""
11_voice_NPC_5227_100#2,"""アウロラ？\u3000なんでも武器姿の方が<br>本人的に楽みたいで、最近はもっぱら<br>その姿のままのんびりしてるわよ。"""
st01_020#1,"""人型になってた時もあったけど<br>見た目的に目立つからね。<br>質問攻めにうんざりしたみたい。"""
st01_030#1,"""……反論もないし、今も寝てるわね。<br>ま、そのうち会えるんじゃない？"""
11_voice_NPC_5227_100#3,"""あんたが戻ってきた途端<br>色々賑やかになったわね。"""
st01_020#2,"""他人の面倒事に<br>クビを突っ込む体質というか<br>お人好しというか……"""
st01_030#2,"""それで助けられたあたしが<br>言うのもなんだけど<br>程々にしときなさいよ。"""
st01_010#0,"""人が相手……か。<br>今更ためらうようなものでもないわ。"""
st01_020#3,"""ハルコタンだってアムドゥスキアだって<br>相手は意志ある存在だったでしょ。<br>それと同じだと、あたしは思うわ。"""
st01_030#3,"""……何にせよ、気にしすぎるなって事。<br>主に戦う相手は、幻創種なんだからね。"""
11_voice_NPC_5227_104#0,"""具現化した武器を折られる……<br>折れるものなのね、そういうの。"""
st01_020#4,"""心の具象なら、心が砕けるまでは<br>その形を保ちそうなものなのに……"""
st01_010#1,"""折れたのは武器じゃなくて心。<br>だから、心が戻れば武器も戻る。<br>さらに強さと輝きを増して、ね。"""
st01_020#5,"""とんでもない荒療治だけども<br>そのヒツギって子にとっては<br>越えるべき壁だったんじゃないかしら。"""
st01_030#4,"""自分の心、本当の心と向き合うのって<br>本当に、辛くて大変だからね。"""
st01_010#2,"""ダークファルスが、その気配を持たずに<br>存在している。それはつまり、その子は<br>すでにダークファルスじゃない。"""
st01_020#6,"""あたしは、そういう見解よ。<br>アークスがどう考えてるかは<br>知らないけどね。"""
st01_030#5,"""どうあるべきかを決めるのは<br>他人ではなく自分だ、ってこと。<br>アルは自分をどう思ってるのかしらね。"""
st01_010#3,"""……アルって子、戻って来たんでしょ？<br>良かったわね、助け出せて。"""
st01_020#7,"""口ではいろいろ言ってると思うけど<br>内心はとっても不安だったはずよ。<br>いっそう優しくしてあげるといいわ。"""
st01_010#4,"""****"""
st01_020#8,"""****"""
st01_030#6,"""****"""
