Title#0,"""Destroy Wolgahda"""
Explanation#0,"""ภายในซากโบราณสถานซึ่งตั้งอยู่ในส่วนที่ลึกที่สุด<br>ของดาวเคราะห์ Naberius เราพบ D-arker พลังแข็งแกร่ง<br>ที่ถูกเรียกว่าว Wolgahda  นั่นแปลว่าD-arkerกำลังรุกล้ำ<br>เข้าไปเรื่อยๆ แล้ว ขอให้อาคส์ที่ได้รับคำสั่งอนุมัติ<br>ออกปฏิบัติการตามลำดับ หากพบ D-arker ให้ทำลายซะ <br>และเข้าไปกำจัด Wolgahda ซึ่งวนเวียนอยู่ในส่วนที่ลึกที่สุด<br>------------------------------------<br>เงื่อนไขเควสท์ล้มเหลว / <br>เข้าไปถึงส่วนที่ลึกที่สุดแล้วแพ้"""
Title#1,"""ウォルガーダ殲滅"""
Explanation#1,"""惑星ナベリウスの最奥に位置する遺跡にて<br>ウォルガーダと呼称される<br>強力なダーカーの存在が確認された。<br>ダーカーの侵食が進んでいる証左である。<br>探索許可を得ているアークスは順次出撃し<br>発見次第、出現したダーカーを倒しつつ<br>最奥にて徘徊するウォルガーダを殲滅せよ。<br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""กำจัด Wolgahda!"""
SimpleExplanation#1,"""ウォルガーダを殲滅せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
