Title#0,"""MISSION：決断"""
Explanation#0,"""アークスの訓練用プログラム、第二弾です。<br>舞台は凍土、地下坑道、浮遊大陸となり<br>支援物資かチャレンジマイルのどちらかを<br>選択し、クリアを目指していただきます。<br><br>初期装備や所持品は一切なく、全てが<br>現地調達となります。ご注意ください。<br>――――――――――――――――――――<br>目標/５つのミッションのクリア<br>※ミッション６以降はありません。"""
SimpleExplanation#0,"""５つのミッションをクリアせよ！"""
Area0S#0,"""ミッション1"""
Area0L#0,"""アークスシップ\u3000ＶＲ空間(凍土)\u3000ミッション1"""
Area1S#0,"""ミッション2"""
Area1L#0,"""アークスシップ\u3000ＶＲ空間(地下坑道)\u3000ミッション2"""
Area2S#0,"""ミッション3"""
Area2L#0,"""アークスシップ\u3000ＶＲ空間(浮遊大陸)\u3000ミッション3"""
Area3S#0,"""ミッション4"""
Area3L#0,"""アークスシップ\u3000ＶＲ空間(凍土)\u3000ミッション4"""
Area4S#0,"""ミッション5"""
Area4L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域 地下坑道)\u3000ミッション5"""
Area21S#0,"""インターバルエリア1"""
Area21L#0,"""アークスシップ\u3000ＶＲ空間(浮遊大陸)\u3000インターバルエリア1"""
Area23S#0,"""インターバルエリア2"""
Area23L#0,"""アークスシップ\u3000ＶＲ空間(地下坑道)\u3000インターバルエリア2"""
NpcComMsg1#0,"""まもなくチャレンジを開始します。 <br>ＶＲエネルギーが切れるまでに５つの <br>ミッションをクリアしてください。"""
NpcComMsg2#0,"""各種携行品も現地調達となります。 <br>厳しい訓練となりますが、臨機応変に <br>対処してください。健闘を祈ります。"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 ミッション１です。<br>まずはコンテナからアイテムを回収し<br>エネミーを撃破しましょう。"""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション２では一定間隔で暗闇が発生<br>します。スパイクフローの動きと<br>暗闇には法則があるようですね。"""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション４です。このエリアで<br>エネルギーカプセルが入手可能な場所は<br>Ｄ－２とＡ－２のみとなります。"""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション５です。<br>これが最後のミッションとなります。<br>限界まで振り絞りましょう。"""
