11_voice_NPC_5065_101#0,"""หล่าหล่าลา ลัลลัลลา หล่าล้า<br>เสียงตะโกน...ของเธอนั้น"""
Kuna_01_020#0,"""ฮึมฮึมฮือ ฮื่มฮื้ม..."""
11_voice_NPC_5065_101#1,"""らーらーらー、らららーらーらー♪<br>きみのー……さけびはっ♪"""
Kuna_01_020#1,"""ふふふーふーふーん……♪"""
11_voice_NPC_5065_104#0,"""ถามว่าชั้นทำอะไรอยู่งั้นเหรอ?<br>พอดีไม่ค่อยมีโอกาสได้มาเดินแถว ShopArea เท่าไหร่<br>ก็เลยมายืนดูคนน่ะ"""
Kuna_02_020#0,"""มาดูว่าพวกเค้ามารวมกลุ่มทำอะไรกันบ้าง <br>สนใจในเรื่องอะไรกันบ้างไง"""
Kuna_02_030#0,"""การศึกษาว่าตอนนี้คนเค้านิยมอะไรกัน <br>เป็นสิ่งที่ไอดอลจะมองข้ามไม่ได้ !<br>ยังมีอะไรที่สำคัญกว่านี้อีกเหรอ?"""
11_voice_NPC_5065_104#1,"""あたし？\u3000何してるのかって？<br>ショップエリアに来る機会なんて<br>そうそう無いから、人間観察。"""
Kuna_02_020#1,"""みんながどういう流行を見ていて<br>どんなことに注目しているのかって<br>じーっと見てるの。"""
Kuna_02_030#1,"""流行をビンカンに捉える！<br>これ、アイドルのみならず<br>何事においても重要なことよ？"""
11_voice_NPC_5065_107#0,"""ว่าแต่ว่า ทำไมคุณถึงได้หาชั้นเจอง่ายนักล่ะ?"""
Kuna_03_020#0,"""อุตส่าห์ใช้เครื่องล่องหนเพื่อไม่ให้คนอื่นเห็นแล้วเชียวนะ<br>...หรือว่ามันไม่ได้ผล?"""
Kuna_03_030#0,"""เอาเถอะ คิดไปก็คงไม่เข้าใจ<br>แต่มันก็ดีเหมือนกันนะ ที่ทำให้เราได้รู้จักกันเนอะ"""
11_voice_NPC_5065_107#1,"""しっかし、どうしてあなたはあたしを<br>こうもカンタンに見つけられるんだろ？"""
Kuna_03_020#1,"""他の人から見えないように<br>屈折率とかいじっているんだけど<br>……効果が無いのかな？"""
Kuna_03_030#1,"""ま、考えてわかることでもないし<br>そのおかげで知り合えたんだし<br>別に良いんだけどねー。"""
11_voice_NPC_5065_100#0,"""ว่าไง ดีจังเลยนะที่เราทั้งคู่ปลอดภัย<br>ขอโทษด้วย ที่ชั้นไปช่วยคุณช้า<br>เพราะว่าการรวบรวมข้อมูลมันต้องใช้เวลาน่ะ"""
Kuna_mb17_020#0,"""เพราะได้คุณฝาแฝดนักให้ข้อมูลนั่นช่วย<br>ก็เลยทำให้สามารถไปช่วยคุณได้ทัน<br>ต้องขอขอบคุณทุกๆ คนจริงๆ"""
Kuna_mb17_030#0,"""ว่าแต่ว่า ทั้งๆ ที่ชั้นตั้งใจว่าจะจบชีวิตการเป็น<br>ไอดอลของชั้นด้วยการปราศรัยนั่นแท้ๆ ......"""
11_voice_NPC_5065_101#2,"""แต่รู้สึกว่าชั้นดันกลับได้รับความนิยมมากยิ่งขึ้น<br>กว่าเดิมอีกแน่ะ ประมาณถูกชมว่าทั้งกล้าหาญ<br>และเท่อะไรประมาณนี้น่ะ...... แปลกจริงๆ เลย"""
11_voice_NPC_5065_100#1,"""やっ、お互いに無事でよかった。<br>助けに行くの遅れちゃってゴメンね。<br>情報収集にかなーり時間かかってさ。"""
Kuna_mb17_020#1,"""あの双子の情報屋さんとかが<br>手伝ってくれて、なんとかって感じ。<br>ほんと、みんなに感謝だよ。"""
Kuna_mb17_030#1,"""しっかし、こちとらアイドル生命<br>終わりのつもりで演説したんだけど……"""
11_voice_NPC_5065_101#3,"""なんか逆に人気が高まってるみたい<br>なんだよね。凛としててかっこいいとか<br>なんとか……ヘンなの。"""
