un_012110_0010#0,"""や、こんちわ。<br>無事に帰還したようでなにより。"""
un_012110_0020#0,"""……ははっ、いいよ。<br>言いたいこと、わかってるから。<br>気を遣う必要もない。"""
un_012110_0030#0,"""お察しの通り。<br>『あたし』は『わたし』。<br>龍を追っているのは、わたしだよ。"""
un_012110_0040#0,"""休憩がてらに歌っていたら<br>それを見られてバレちゃうなんて……"""
un_012110_0050#0,"""アイドル失格？\u3000隠密業失格？"""
un_012110_0060#0,"""まあ、どっちでもいっか！<br>あたし、向いてないんだろうし。"""
un_012110_0070#0,"""いろいろ言いたいことはあると思う。<br>でも、ひとつお願いがあるの。"""
un_012110_0080#0,"""このことは、内緒にしておいて！<br>お願い、このとーり！"""
un_012110_0090#0,"""わかった、内密にする"""
un_012110_0100#0,"""無言を貫く"""
un_012110_0110#0,"""ふふっ、ありがと。<br>口約束でも、約束は約束。<br>なんだかすこし、ほっとしたよ。"""
un_012110_0120#0,"""正体を広めようとしても<br>情報は広まらずに、握り潰される。"""
un_012110_0130#0,"""そして情報源が断たれてしまう……"""
un_012110_0140#0,"""これは脅しじゃなくて、本気で。"""
un_012110_0150#0,"""だから、黙っていてくれると<br>約束してくれて、ありがとう。"""
un_012110_0160#0,"""煮え切らない反応、って当然か……<br>今まで騙してたワケだしね。"""
un_012110_0170#0,"""でもね、このことを広めようとしても<br>多分無駄だよ、どこかでもみ消される。<br>そういう風に、なってるから。"""
un_012110_0180#0,"""だから、腹立たしいだろうけど<br>あなたのために黙っていてほしい。<br>そうすれば大丈夫だから。"""
un_012110_0190#0,"""……ま、アイドルにはアイドルで<br>いろいろ裏の部分もあるってこと！"""
un_012110_0200#0,"""アイドルの裏の姿を知ることができて<br>ラッキーとでも思っておけばいいのよ！<br>ね、そうしなさい！"""
un_012110_0210#0,"""ここからいなくなったりはしないから<br>これからもよろしくね！"""
un_012110_0220#0,"""A.P.238/4/10"""
