st_065090_0230#0,"""<%me>。<br>你的選擇、是正確的。"""
st_065090_0240#0,"""……字宙誕生之前的地方。<br>是連記憶都無法開始的、虛無之地。<br>是不會被破滅的地方。"""
st_065090_0250#0,"""絕對破滅的意志、就會在此毀滅。<br>和你一起、在這裡消失。"""
st_065090_0260#0,"""然後、宇宙就由此開始。"""
st_065090_0270#0,"""那是在宇宙誕生之前、產生的光。<br>也是消失在宇宙原點的、一束光。<br>阿卡西記錄就是這樣誕生的。"""
st_065090_0280#0,"""你、從一開始就在這裡。<br>作為認知所有歷史的存在。"""
st_065090_0290#0,"""萬事從這裡開始<br>……也在這裡、結束。"""
st_065090_0300#0,"""如果這樣能拯救世界的話……"""
st_065090_0310#0,"""……儘管如此、我還是想要邁向未來"""
st_065100_0010#0,"""巨大的光芒從裡面出現<br>從這裡閃著光輝。"""
st_065100_0020#0,"""……從此、宇宙開始了。<br>見證開天闢地的光芒。"""
st_065100_0030#0,"""那就是、阿卡西記錄的光芒。<br>由此連綿紡出的、歷史之線。<br>是你創造出的、世界的形態。"""
st_065100_0040#0,"""就這樣、歷史開始了。<br>……重複的歷史、從這裏開始。"""
st_065110_0010#0,"""……但是。"""
st_065110_0020#0,"""但是、但是。"""
st_065110_0030#0,"""從過去延續到現在<br>即使失去這段歷史……"""
st_065110_0040#0,"""……從現在到未來<br>你也不能迷失了道路。"""
st_065110_0050#0,"""<%me>。<br>你應該能聽到。<br>大家呼喚你的聲音。"""
st_065110_0060#0,"""<%me>。<br>你應該能看見。<br>那只伸手可及的手。"""
st_065110_0070#0,"""如果你是這個世界的容器<br>只能重複現在的歷史的話。"""
st_065110_0080#0,"""但是、你與世界之間的聯系<br>就能編織出新的未來。"""
st_065110_0090#0,"""睜開你的眼睛、梳理你的記憶、邁向新的未來。"""
st_065110_0100#0,"""<%me>。<br>你是原初的存在、也是最後的ARKS。"""
st_065110_0110#0,"""從你編織的、迄今為止的歷史<br>所有的答案都會彙集而來。"""
st_065110_0120#0,"""我、遇見了你<br>……非常感謝。"""
window_message_0000#0,"""記錄了到上次為止的進展。<br>要繼續劇情嗎？<br><br>即使選擇「從最初開始」記錄的數據也不會消失。"""
window_message_0010#0,"""繼續劇情"""
window_message_0020#0,"""從最初開始"""
