msc_020220_0010#0,"""やあ。"""
msc_020220_0020#0,"""イルマ!?"""
msc_020220_0030#0,"""話は聞かせてもらったよ。<br>なんだか、大変なことになってるみたいだね。"""
msc_020220_0040#0,"""その子が、<br>あの“浮島”……ルシエルから来たっていう？"""
msc_020220_0050#0,"""……ファリアです。"""
msc_020220_0060#0,"""よろしく、ファリア。<br>僕はイルマだよ。"""
msc_020220_0070#0,"""それじゃ、さっそく、<br>そのルシエルに行く方法を教えてもらおうか。"""
msc_020220_0080#0,"""わかりました。"""
msc_020220_0090#0,"""……ダメですね。"""
msc_020220_0100#0,"""どうしたの？"""
msc_020220_0110#0,"""なにか問題が？"""
msc_020220_0120#0,"""………。"""
msc_020220_0130#0,"""はい……。"""
msc_020220_0140#0,"""テレポーターの起動に失敗しました。<br>ロックされているようです。"""
msc_020220_0150#0,"""それじゃ、僕の出番だね。"""
msc_020220_0160#0,"""……まさか、そのルシエルが、<br>このハルファの制御装置だったなんて。"""
msc_020220_0170#0,"""しかも、そこからドールズと、<br>“星渡り”を送り込んで、戦わせていた。"""
msc_020220_0180#0,"""さすがに、僕もすぐには信じられない話だね。"""
msc_020220_0190#0,"""………。"""
msc_020220_0200#0,"""あたしも、ちょっと話してもいい？"""
msc_020220_0210#0,"""はい。"""
msc_020220_0220#0,"""あなた、最初に会ったときのマノンと雰囲気似てるかも。"""
msc_020220_0230#0,"""そうですか。"""
msc_020220_0240#0,"""そうそう、その感じとか。<br>あなたとマノンのこと、もっと聞かせて？"""
msc_020220_0250#0,"""……私に話せることであれば。"""
msc_020220_0260#0,"""うん、それで大丈夫。"""
msc_020220_0270#0,"""あなたとマノンは、どういう関係なの？"""
msc_020220_0280#0,"""私はマノンのバックアップです。"""
msc_020220_0290#0,"""マノンの活動をモニターし、<br>問題が発生した場合は、支援を行います。"""
msc_020220_0300#0,"""マノンのことを、ずっと見てたってこと？<br>ルシエルから。"""
msc_020220_0310#0,"""はい。"""
msc_020220_0320#0,"""それで、実際に“問題”が起きて……。"""
msc_020220_0330#0,"""ルシエルにいても解決できないから、<br>僕らを頼ってこっちにきた……ってことか。"""
msc_020220_0340#0,"""そうです。"""
msc_020220_0350#0,"""……な、なるほど。"""
msc_020220_0360#0,"""……えーと。<br>じゃあ、次の質問。"""
msc_020220_0370#0,"""マノンは、ハルファでなにをしていたの？"""
msc_020220_0380#0,"""……第三次計画の記録……。"""
msc_020220_0390#0,"""アークスと、ダークファルスの戦いを、<br>間近で記録するのが、マノンの役割です。"""
msc_020220_0400#0,"""戦いを……記録。"""
msc_020220_0410#0,"""マノンは、すべてを知っていた？"""
msc_020220_0420#0,"""マノンが、戦いをおこしていた？"""
msc_020220_0430#0,"""いいえ。<br>事前に知らされていた情報は限られます。"""
msc_020220_0440#0,"""いいえ。<br>彼女は、戦いの推移を観察していただけです。"""
msc_020220_0450#0,"""その計画の主導者じゃなくて、<br>あくまで観測者……ってことか。"""
msc_020220_0460#0,"""はい。"""
msc_020220_0470#0,"""え、えーと？"""
msc_020220_0480#0,"""つまり、マノンは僕たちのことを、<br>ただ見ているのが仕事だったんだ。"""
msc_020220_0490#0,"""一定の距離を保ちつつ、<br>多くの“星渡り”のひとりとして。"""
msc_020220_0500#0,"""でも、少なくとも僕が知る限り、<br>マノンは僕たちのやることに積極的に関わろうとしていた。"""
msc_020220_0510#0,"""なにか、心境の変化があった……ってことかな？"""
msc_020220_0520#0,"""マノン……。"""
msc_020220_0530#0,"""マノンは、なぜルシエルに向かった？"""
msc_020220_0540#0,"""ルシエルには、ほかに誰がいる？"""
msc_020220_0550#0,"""ゼフェットを、止めようとしていました。"""
msc_020220_0560#0,"""……ゼフェットがいます。"""
msc_020220_0570#0,"""ゼフェット？"""
msc_020220_0580#0,"""ハルファでの実験の管理者。<br>リサージェントアークスの総督です。"""
msc_020220_0590#0,"""その、ゼフェットが、<br>“実験”ってのを始めたヒトなの？"""
msc_020220_0600#0,"""記録では、そうなっています。"""
msc_020220_0610#0,"""……そっか。"""
msc_020220_0620#0,"""ゼフェットは、私やマノンを創り出した存在。<br>父……、あるいは母のようなものでもあります。"""
msc_020220_0630#0,"""お父さん……、お母さん……。"""
msc_020220_0640#0,"""ふつうの家族の関係……とは、<br>ちょっと違いそうだね。"""
msc_020220_0650#0,"""その、ゼフェットがルシエルの全権を握っているのだとしたら……。"""
msc_020220_0660#0,"""説得する、もしくは無力化すれば、<br>ドールズとの戦いが終わる……か。"""
msc_020220_0670#0,"""……実験っていうのは、<br>どれくらい前から続いてるの？"""
msc_020220_0680#0,"""記録では300年前とされています。"""
msc_020220_0690#0,"""300年……!?"""
msc_020220_0700#0,"""………。"""
msc_020220_0710#0,"""じゃあ、本当に数えきれないほどのアークスが、<br>その“実験”の犠牲になってきたんだね……。"""
msc_020220_0720#0,"""………。"""
msc_020220_0730#0,"""マノンが、ゼフェットと対峙を決意した<br>決定的な理由はなんだろう？"""
msc_020220_0740#0,"""……わかりません。"""
msc_020220_0750#0,"""……いえ、ひとつだけ……。"""
msc_020220_0760#0,"""活動中のモニタリングデータに、<br>強い怒りの感情がみられました。"""
msc_020220_0770#0,"""それは、ゼフェットに対して？"""
msc_020220_0780#0,"""はい。"""
msc_020220_0790#0,"""じゃあ、マノンは本当に、<br>ひとりですべてを終わらせるつもりなのか。"""
msc_020220_0800#0,"""そんなの……無茶だよ……。"""
msc_020220_0810#0,"""………。"""
msc_020220_0820#0,"""ん？"""
msc_020220_0830#0,"""起動に成功しました。"""
msc_020220_0840#0,"""これがテレポーター？"""
msc_020220_0850#0,"""でもこれって、近距離用の……？"""
msc_020220_0860#0,"""見た目はそうですが、出力は100倍以上です。"""
msc_020220_0870#0,"""フォトンフィールドが安定しなくても、<br>超長距離転送が可能です。"""
msc_020220_0880#0,"""へぇー。"""
msc_020220_0890#0,"""じゃあ、みんなを呼んで、<br>ルシエルとやらに乗り込みますか。"""
msc_020220_0900#0,"""聞こえるかい？"""
msc_020220_0910#0,"""ああ、クロフォード。<br>ちょうどよかった。"""
msc_020220_0920#0,"""ルシエルに向かう準備ができた……。"""
msc_020220_0930#0,"""いや、ルシエルへの侵入は一旦中止だ。"""
msc_020220_0940#0,"""なにかあったの？"""
msc_020220_0950#0,"""ドールズの総攻撃だ。<br>相当数の降下が、ハルファ全域で確認された。"""
msc_020220_0960#0,"""なんだって!?"""
msc_020220_0970#0,"""こっちにはなんの反応も……。<br>僕の警戒網を避けて侵入してきたって言うの？"""
msc_020220_0980#0,"""本当だ。<br>なんてこった。"""
msc_020220_0990#0,"""タイヴァスたちには先に伝えてある。<br>こちらからも、可能な限り戦力を送る。"""
msc_020220_1000#0,"""……だってさ。<br>僕も兄妹のところに急ぐよ。"""
msc_020220_1005#0,"""キミたちは、エアリオに戻るかい？"""
msc_020220_1010#0,"""……ううん。"""
msc_020220_1020#0,"""アイナ？"""
msc_020220_1030#0,"""あたしたちは、ルシエルに行く。<br>みんなは自分たちのリージョンを守って。"""
msc_020220_1040#0,"""………。"""
msc_020220_1050#0,"""クロフォード？"""
msc_020220_1060#0,"""わかった。<br>キミたちに一任する。"""
msc_020220_1070#0,"""クロフォード！"""
msc_020220_1080#0,"""マノン君のことは放っておけない。"""
msc_020220_1090#0,"""態勢が整い次第、すぐに部隊を送る。"""
msc_020220_1100#0,"""……その前に、危険だと思ったら、<br>すぐに戻ってきてくれ。"""
msc_020220_1110#0,"""わかった。"""
msc_020220_1120#0,"""私も行きます。"""
msc_020220_1130#0,"""あっ……。"""
msc_020220_1140#0,"""その体じゃ、無理だ。"""
msc_020220_1150#0,"""イルマ、彼女のことを頼む。"""
msc_020220_1160#0,"""そうだね。<br>こっちで待ってて。"""
msc_020220_1170#0,"""……わかりました。"""
msc_020220_1180#0,"""イルマ、この子のことをお願い。"""
msc_020220_1190#0,"""わかった。任せて。"""
msc_020220_1200#0,"""了解。"""
msc_020220_1210#0,"""まだ、完全には回復してないみたいだね。"""
msc_020220_1220#0,"""………。"""
msc_020220_1230#0,"""では、これを渡しておきます。"""
msc_020220_1240#0,"""これは……？"""
msc_020220_1250#0,"""ルシエル内部のマップです。"""
msc_020220_1260#0,"""私がこちらに来る前、マノンは、<br>ドールズの製造施設に向かっていました。"""
msc_020220_1270#0,"""現在の場所はわかりません。"""
msc_020220_1280#0,"""ハルファからルシエルへの通信は、遮断されています。"""
msc_020220_1290#0,"""わかった。ありがとう。"""
msc_020220_1300#0,"""……マノンのことを、頼みます。"""
msc_020220_1310#0,"""うん、まかせて！"""
msc_020220_1320#0,"""僕たちも、<br>こっちの問題が片付いたらすぐに向かうよ。"""
msc_020220_1330#0,"""それまで頑張って。"""
