un_025070_0010#0,"""อื๋อ? ทำไมตอนที่ย้อนเวลาไปเมื่อ <br>10 ปีก่อนผมถึงไม่ค่อยพูด งั้นเหรอ?"""
un_025070_0020#0,"""เหตุผลนั้นมีอยู่สองข้อ<br>......คือหนึ่ง<br>เพื่อไม่ให้ Xion โกรธ"""
un_025070_0030#0,"""เพราะผู้ที่ทำการลบบันทึกเมื่อ 10 ปีก่อนก็คือ<br>ตัว Xion เอง ดังนั้นจึงไม่แน่ว่าเค้าอาจจะซ่อน<br>อะไรที่ไม่สะดวกกับตัวเองเอาไว้ก็ได้ใช่มั้ยล่ะ?"""
un_025070_0040#0,"""และถ้าเป็นแบบนั้น หากเราไปเปิดโปงเข้ามันก็<br>อาจจะทำให้พวกเราถูกกำจัดก็เป็นได้ ด้วยเหตุนั้น <br>ผมจึงต้องเงียบเอาไว้เพื่อไม่ให้ความแตกยังไงล่ะ"""
un_025070_0041#0,"""บางทีเรื่องของคุณเองก็โดนเฝ้าจับตามอง<br>จาก Clarissa เหมือนกัน เพียงแค่ตอนนี้<br>เค้ายอมจับตาดูอย่างสงบเท่านั้น"""
un_025070_0042#0,"""ไม่สิ ควรจะพูดว่าไม่สนใจมากกว่ารึเปล่านะ?<br>แต่ก็นะ จะยังไงซะ ถ้าผมโผล่อออกไปล่ะก็<br>จะโดนทำอะไรบ้างก็ไม่รู้"""
un_025070_0050#0,"""เธอคนนั้นน่ะก็เปรียบเสมือนแม่ของผม<br>เพราะงั้นถ้าจะแทรกแซงล่ะก็<br>แป๊บเดียวความก็น่าจะแตกแล้วล่ะ"""
un_025070_0060#0,"""ส่วนเหตุผลอีกข้อนึงก็คือ......"""
un_025070_0070#0,"""อืม จะบอกว่ายังไงดีนะ<br>......คือผมรู้สึกไม่สบอารมณ์น่ะ"""
un_025070_0080#0,"""ก็เล่นจ้องซะยังกับพวกเราจะมาทำ<br>เรื่องร้ายๆ อะไรเลยนี่นา ผมก็เลย<br>รู้สึกไม่ค่อยสบายใจอะไรทำนองนั้นแหละ"""
un_025070_0090#0,"""ทั้งๆ ที่ก็ไม่ใช่ว่าจะมาทำ<br>เรื่องร้ายๆ อะไรซักหน่อย......<br>คือมันทำตัวลำบากน่ะนะ"""
un_025070_0010#1,"""ん？\u3000十年前の時軸にいる時<br>どうしてあんまり喋らないのか、って？"""
un_025070_0020#1,"""理由は二つある。<br>……まず、一つ目は<br>シオンを怒らせないため。"""
un_025070_0030#1,"""十年前の記録抹消はシオンによるもの。<br>もしかしたら彼女にとって不都合だから<br>隠しているのかもしれないだろ？"""
un_025070_0040#1,"""だとすると、それを暴こうとする<br>ぼくたちを排除にかかるかもしれない。<br>だから、ばれないように黙ってるのさ。"""
un_025070_0041#1,"""たぶん君のことも<br>クラリッサからじっと見ているよ。<br>今は静観してくれているだけだ。"""
un_025070_0042#1,"""いや、興味がないというべきかな？<br>ま、なんにせよ、ぼくが出ていったら<br>何されるかわからないよ。"""
un_025070_0050#1,"""彼女はぼくの母みたいな存在だ。<br>干渉しようものなら<br>すぐにばれちゃうだろうしね。"""
un_025070_0060#1,"""あと、もう一つの理由だけど……"""
un_025070_0070#1,"""んー、なんて言えばいいのかな。<br>……気まずいんだよ。"""
un_025070_0080#1,"""悪いことしているのを<br>じーっと見られているような感じで<br>居心地が悪いっていうかなんていうか。"""
un_025070_0090#1,"""べつに悪いことしてるんじゃ<br>ないんだけど……<br>やりにくいんだよね。"""
