IncidentName#0,"""討伐対象を全て撃破せよ！"""
TrialBeginMsg#0,"""全てのエネミーを撃破せよ！"""
TrialAbstract#0,"""全てのエネミーを撃破せよ！"""
NpcComOnPreBegin#0,"""ニャウ、撤退……いえ！<br>撤退の影響で空間に歪みが発生！<br>注意してください！"""
NpcComOnBegin#0,"""エネミーの出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnEnemyDead#0,"""エネミー１体の撃破を確認。<br>残りはあと１体です。"""
NpcComOnSuccess#0,"""お疲れさまでした。<br>適切な対処に感謝します。"""
NpcComOnPreBegin_Other#0,"""ニャウ、撤退……いえ！<br>撤退の影響で空間に歪みが発生！<br>注意してください！"""
NpcComOnBegin_Other#0,"""エネミーの出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnEnemyDead_Other#0,"""エネミー１体の撃破を確認。<br>残りはあと１体です。"""
NpcComOnSuccess_Other#0,"""お疲れさまでした。<br>適切な対処に感謝します。"""
NpcComOnPreBegin_Darker#0,"""ニャウ、撤退……いえ！<br>撤退の影響で空間に歪みが発生！<br>注意してください！"""
NpcComOnBegin_Darker#0,"""エネミーの出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnEnemyDead_Darker#0,"""エネミー１体の撃破を確認。<br>残りはあと１体です。"""
NpcComOnSuccess_Darker#0,"""お疲れさまでした。<br>適切な対処に感謝します。"""
NpcComOnPreBegin#1,"""ニャウの逃亡を確認……む？<br>逃亡の影響による空間の歪みを検知。<br>何か来る、注意しろ！"""
NpcComOnBegin#1,"""ち、厄介なエネミーが現れたものだ。<br>各員、戦闘態勢。目標を撃退せよ。"""
NpcComOnEnemyDead#1,"""エネミーの撃破を確認した。<br>残りはあと１体だ。"""
NpcComOnSuccess#1,"""反応消失。<br>突然の来襲だったが、よくやった。"""
NpcComOnPreBegin_Other#1,"""ニャウの逃亡を確認……む？<br>逃亡の影響による空間の歪みを検知。<br>何か来る、注意しろ！"""
NpcComOnBegin_Other#1,"""ち、厄介なエネミーが現れたものだ。<br>各員、戦闘態勢。目標を撃退せよ。"""
NpcComOnEnemyDead_Other#1,"""エネミーの撃破を確認した。<br>残りはあと１体だ。"""
NpcComOnSuccess_Other#1,"""反応消失。<br>突然の来襲だったが、よくやった。"""
NpcComOnPreBegin_Darker#1,"""ニャウの逃亡を確認……む？<br>逃亡の影響による空間の歪みを検知。<br>何か来る、注意しろ！"""
NpcComOnBegin_Darker#1,"""ち、厄介なエネミーが現れたものだ。<br>各員、戦闘態勢。目標を撃退せよ。"""
NpcComOnEnemyDead_Darker#1,"""エネミーの撃破を確認した。<br>残りはあと１体だ。"""
NpcComOnSuccess_Darker#1,"""反応消失。<br>突然の来襲だったが、よくやった。"""
NpcComOnPreBegin#2,"""ニャウが逃走……って、あれれっ？<br>逃走の影響で空間がヘンな感じ……<br>き、気を付けてくださいー！"""
NpcComOnBegin#2,"""強力な敵さんが来ちゃいましたね……<br>みなさん、もうひと頑張りです！"""
NpcComOnEnemyDead#2,"""敵さんはあと１体ですよー！<br>頑張ってくださいー！"""
NpcComOnSuccess#2,"""やったやった、やりました！<br>もう敵さんの反応はありませんよ！<br>みなさん、お疲れさまでしたっ！"""
NpcComOnPreBegin_Other#2,"""ニャウが逃走……って、あれれっ？<br>逃走の影響で空間がヘンな感じ……<br>き、気を付けてくださいー！"""
NpcComOnBegin_Other#2,"""強力な敵さんが来ちゃいましたね……<br>みなさん、もうひと頑張りです！"""
NpcComOnEnemyDead_Other#2,"""敵さんはあと１体ですよー！<br>頑張ってくださいー！"""
NpcComOnSuccess_Other#2,"""やったやった、やりました！<br>もう敵さんの反応はありませんよ！<br>みなさん、お疲れさまでしたっ！"""
