Title#0,"""Storming Leciel"""
Summary#0,"""Leciel"""
Objective311#0,"""Head into Leciel"""
Objective321#0,"""Defeat the enemies"""
Objective331#0,"""Head into Leciel"""
Objective341#0,"""Defeat the enemies"""
Objective351#0,"""Head into Leciel"""
Objective361#0,"""Defeat the enemies"""
Objective371#0,"""Head into Leciel"""
Objective381#0,"""Defeat the enemies"""
Objective391#0,"""Head into Leciel"""
Objective401#0,"""Defeat the enemies"""
Objective411#0,"""Head into Leciel"""
Objective412#0,"""Talk to Aina"""
