name01#0,"""Hilda"""
name02#0,"""Melita"""
name01#1,"""ヒルダ"""
name02#1,"""メリッタ"""
skit01#0,"""ถึงเวลาแล้ว จากนี้ไปหน่วยจู่โจม<br>ทางอากาศจะเริ่มโจมตีแล้ว....."""
skit02#0,"""มะ...มีรายงานด่วนแจ้งเข้ามา!<br>ตรวจพบปฏิกิริยาขนาดใหญ่สองจุดจากภายใน Themis!"""
skit03#0,"""อ๊าาาา! ยานรบของเราถูกโจมตีตกลงไป! แย่จริง!"""
skit04#0,"""......Melita สงบใจลงหน่อย<br>สมาชิก ARKS ทั้งหมดใน F-5<br>รีบเข้าช่วยเหลือยานรบลำนั้นเดี๋ยวนี้"""
skit05#0,"""ยานรบที่เหลือตั้งขบวนใหม่ <br>แล้วดำเนินภารกิจจู่โจมต่อไป<br>อย่าปล่อยให้ศัตรูหนีไปได้แม้แต่ตัวเดียว"""
skit01#1,"""定刻だ。これより<br>航空部隊による掃討を……"""
skit02#1,"""きっ、緊急の警告ですー！<br>『テミス』内部に新たな反応！<br>おっきなのが二つですー！"""
skit03#1,"""あっ、ああっ！\u3000戦闘機が<br>おっきいのから攻撃を受けて<br>墜落中ですー！\u3000大変大変！"""
skit04#1,"""……メリッタ、少しは落ち着け。<br>Ｆ－５近辺のアークスに要請。<br>戦闘機の援護に回れ。"""
skit05#1,"""現存する航空部隊は再編後<br>掃討作戦を継続するぞ。<br>もう一つの敵性反応を逃すな。"""
