Title#0,"""不給糖就搗蛋！"""
Explanation#0,"""嗨～，這次的委託不是來自ARKS總部<br>而是來自我！<br>聽說娜烏拉的蛋糕店今年也將限期在<br>夜間的莉莉芭行星沙漠成立特別分店<br>來進行萬聖節祭典喲？<br>難得有機會，去看看吧？<br>雖然有許多危險因素<br>但夜晚的流星等可是氣氛絕佳值得推薦喔！<br>――――――――――――――――――――<br>失敗條件／防衛失敗、超過限制時間"""
Title#1,"""トリックオアトリート！"""
Explanation#1,"""はーい、この依頼はアークス本部ではなく<br>わたしことシーからお伝えしまっす！<br>今年もナウラのケーキ屋が期間限定で<br>惑星リリーパの砂漠の夜にお店を開いて<br>ハロウィンのお祭りをしているらしいよ？<br>折角だし、見に行ってきたらどうかなっ！<br>危険がたくさんいっぱいだけど<br>夜の流星なんかムード満点でオススメだよ！<br>――――――――――――――――――――<br>失敗条件/防衛の失敗、制限時間の経過"""
SimpleExplanation#0,"""找出娜烏拉的蛋糕店！"""
SimpleExplanation#1,"""ナウラのケーキ屋を探し出せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
