text01101#0,"""ในที่สุดก็มาจนได้นะ<br>ท่าน <%me>"""
text01102#0,"""ข้าชื่อ Arkma"""
text01103#0,"""เป็นผู้ที่รับผิดชอบหน้าที่นำเสนอข้อมูล<br>เกี่ยวกับฟังก์ชันของ ARKS Ship Competition <br>และการซื้อของรางวัลด้วย Star"""
text01104#0,"""หืม?"""
text01105#0,"""จากสีหน้าของท่าน<br>ข้าขอเดาว่าท่านกำลังงุนงงอยู่"""
text01106#0,"""ถ้าเช่นนั้น แม้จะกะทันหันไปหน่อย<br>แต่ข้าจะขอปฏิบัติหน้าที่ของข้าเลยก็แล้วกัน"""
text01107#0,"""จากนี้ไปข้าจะดำเนินการ Tutorial<br>อธิบายกฎเกี่ยวกับ ARKS Ship Competition"""
text01108#0,"""ข้าแนะนำให้ท่านอย่ากดข้าม<br>และตรวจสอบยืนยันมันอย่างตั้งใจ"""
text01101#1,"""よくぞ参られた。<br><%me>殿。"""
text01102#1,"""私がアークマである。"""
text01103#1,"""アークスシップ対抗戦に関する<br>幾多の情報提供および<br>スターによる賞品の購入を担当する。"""
text01104#1,"""ん？"""
text01105#1,"""貴君の表情から<br>理解があいまいな状態と推測する。"""
text01106#1,"""ならば、さっそくだが<br>私の任務を遂行するとしよう。"""
text01107#1,"""これよりアークスシップ対抗戦の<br>ルール説明をチュートリアルにて行う。"""
text01108#1,"""スキップせずに<br>しっかり確認する事を推奨する。"""
text01201#0,"""เป็นเช่นไรบ้าง<br>ถ้าเป็นท่านล่ะก็<br>ข้าขอเดาว่าจะต้องเข้าใจแน่"""
text01202#0,"""ในกรณีที่ท่านต้องการจะยืนยันกฎอีกครั้ง <br>ข้าแนะนำให้ไปยืนยันเอาจาก Tutorial"""
text01203#0,"""Tutorial นั้นสามารถดูอ้างอิงได้จาก<br>[ข้อมูล] ของ [เมนูหลัก]"""
text01204#0,"""เกี่ยวกับช่วงเวลาเริ่มหรือจบ Round นั้น<br>ข้าจะดำเนินการประกาศให้ ARKS ทั้งหมด<br>ทราบโดยพร้อมกัน"""
