un_012430_0010#0,"""ว่าไงว่าไงเจ้าเองเรอะ! สบายดีรึเปล่า!"""
un_012430_0020#0,"""พักนี้ข้าคิดว่าบรรยากาศโดยรวมของ <br>ARKS มันไม่มีพลังเอาซะเลย!<br>เจอกี่คนกี่คนก็ยืนยันได้อย่างนั้น!"""
un_012430_0030#0,"""แต่นั่นก็คงเพราะการฟื้นคืนชีพของ Dark Falz<br>กับการปรากฏตัวของมังกรคลั่งด้วยล่ะนะ<br>ข้าก็เลยพอเข้าใจว่าทำไมถึงจิตตกกัน!"""
un_012430_0040#0,"""ทว่าการที่มัวแต่จิตตกอยู่แบบนั้นน่ะ<br>มันเป็นการกระทำของพวกมนุษย์ชั้นสาม!"""
un_012430_0050#0,"""และ ARKS อย่างพวกเราทุกคนน่ะ<br>คือมนุษย์ชั้นหนึ่ง! ไม่ใช่ชั้นสาม!<br>พวกเราเป็นโปรเฟสชั่นแนล!"""
un_012430_0060#0,"""พวกเราจะต้องไม่เพียงแค่รอและทำ<br>ตามคำสั่งที่จะลงมาเท่านั้น! แต่พวกเรา<br>จะต้องคิดเองและเคลื่อนไหวเองด้วย!"""
un_012430_0070#0,"""การทำตามข้อมูลที่เบื้องบนหามา<br>หรือทำตามคำสั่งของคนอื่นน่ะ<br>มันสบาย! ใช่เรื่องนั้นข้าไม่เถียง!"""
un_012430_0080#0,"""ทว่า ห้ามที่จะลืมเด็ดขาด!<br>ตรงจุดนั้นมันมีความถูกต้องอยู่หรือเปล่า<br>เรื่องนี้เท่านั้นที่สำคัญมาก!"""
un_012430_0090#0,"""จงถือครองความถูกต้องที่ไม่สั่นหวั่นแม้เวลาไหน!<br>แล้วก็จงเชื่อมั่นในสิ่งนั้นอย่างมุ่งมั่น!<br>ไม่ต้องสนว่าจะเชื่อมั่นเกินเพราะมันคือความมั่นใจ!"""
un_012430_0100#0,"""หากทำเช่นนั้นได้ก็จะไม่หลุดเส้น<br>ทางแน่นอน ยามใดที่หลงทาง<br>เจ้าแค่ทำตามใจของตนเองเท่านั้นก็พอ"""
un_012430_0110#0,"""โอ๊ะ! ไม่ได้ไม่ได้!<br>ดันเริ่มเข้าเรื่องเครียดไปซะได้!"""
un_012430_0120#0,"""เวลาแบบนี้น่ะมันต้องมุ่งมั่นกับการทำ<br>ความถูกต้องของตนเองให้ถึงที่สุด!<br>และความถูกต้องก็คือการช่วยคนนั่นเอง!"""
un_012430_0130#0,"""ข้าจะออกไปตระเวนโจมตีต่อล่ะ!<br>ไว้เจอกันใหม่นะ!"""
un_012430_0010#1,"""やあやあ君か！\u3000元気か君！"""
un_012430_0020#1,"""最近のアークス全体の空気には<br>活力が足りないように思えてな！<br>会うたび会うたび確認している！"""
un_012430_0030#1,"""ダークファルスの復活に<br>謎の暴走龍の出現と続いたからな。<br>まあ、沈みたくなる気持ちもわかる！"""
un_012430_0040#1,"""だが、そこでずっと凹んでいるのは<br>三流のやることだ！"""
un_012430_0050#1,"""そしてオレたちアークスは<br>みな一流の人間だ！\u3000三流ではない！<br>プロフェッショナルなのだ！"""
un_012430_0060#1,"""オレたちは、命令を受けて<br>それに従う以上に、自分で考え<br>自分で動かねばならない！"""
un_012430_0070#1,"""上から提供される情報と<br>他者から下される命令に従うのは<br>とても楽なことだ！\u3000否定はしない！"""
un_012430_0080#1,"""だが、忘れてはいけないぞ！<br>そこに正義があるのかどうか<br>それこそが重要なんだ！"""
un_012430_0090#1,"""常に揺るがぬ自身の正義を持つ！<br>そして、それをひたすらに信じる！<br>過信でも構わない、それも自信だ！"""
un_012430_0100#1,"""そうすれば、道は見失わない。<br>迷った時は、自分の心にのみ<br>従えば良いだけだ。"""
un_012430_0110#1,"""っとお！\u3000いかんいかんぞ！<br>しんみりしはじめてしまった！"""
un_012430_0120#1,"""こういうときは、ただひたすらに<br>自分の正義を実行するに限る！<br>正義とはつまり、人助けだ！"""
un_012430_0130#1,"""オレはこのまま遊撃に向かう！<br>それではまたな！"""
