un_064170_0010#0,"""〔カミツ様ー！〕"""
un_064170_0020#0,"""〔脅威は〕〔去ったと〕<br>〔聞きました！〕"""
un_064170_0030#0,"""〔これもすべて〕〔この者に〕<br>〔感謝をせねば〕〔ならないかと！〕"""
un_064170_0040#0,"""〔謙遜されるな。未来は繋がれた。<br>それらはすべて、貴方が紡いだもの〕"""
un_064170_0050#0,"""〔いまだにその功績を認められぬ者が<br>おれども、私やコのレラはすべてを<br>見て、知っている〕"""
un_064170_0060#0,"""〔カミツ様〕〔この者が〕<br>〔あれほど〕〔活躍をしたと〕<br>〔知っていても〕〔認めない者が？〕"""
un_064170_0070#0,"""問題ない"""
un_064170_0080#0,"""ありがとう"""
un_064170_0090#0,"""〔然り。自分たちと異なる存在を<br>真に理解することは、大変難しい〕"""
un_064170_0100#0,"""〔ただ彼らは、いずれ知る。<br>多少時間がかかれど、必ず〕"""
un_064170_0110#0,"""〔それなら〕〔私が広める！〕"""
un_064170_0120#0,"""〔アークスとの交流が〕<br>〔未来を生んだと〕〔巫の私が〕<br>〔大胆に伝えていく！〕"""
un_064170_0130#0,"""〔私は〕〔知っている！〕<br>〔この未来は〕〔アークスのおかげ！〕"""
un_064170_0140#0,"""〔未来を紡いでくれたことに感謝する。<br>私はコのレラとともに、貴方の活躍を<br>後世に伝えてゆこう〕"""
un_064170_0150#0,"""〔アークスの活躍は〕〔素晴らしい！〕<br>〔その強さは〕〔龍族にも劣らない！〕"""
un_064170_0160#0,"""〔特別に〕〔名誉龍族として〕<br>〔迎え入れても〕〔良いくらい！〕"""
un_064170_0170#0,"""〔レラは、貴方の活躍を<br>心から誇りに思っている〕"""
un_064170_0180#0,"""〔案内役という役目を通じ<br>龍族とアークスの架け橋になれた。<br>互いに協力できたことを喜んでいる〕"""
un_064170_0190#0,"""〔協力できたこと〕〔私は嬉しいぞ！〕<br>〔アークスは〕〔どう思っている？〕"""
un_064170_0200#0,"""コ・レラの活躍があってこそ"""
un_064170_0210#0,"""コ・レラはかわいい"""
un_064170_0220#0,"""〔カミツ様の〕〔協力もあってこそ！〕<br>〔でも〕〔そう言ってもらえると〕"""
un_064170_0230#0,"""〔嬉しい！〕"""
un_064170_0240#0,"""〔かわいいは〕〔知っているぞ！〕<br>〔人は〕〔かわいい者と結婚したいと〕<br>〔アキから〕〔聞いたことがある〕"""
un_064170_0250#0,"""〔じゃあ〕〔結婚する？〕"""
un_064170_0260#0,"""〔アークスの文化について〕<br>〔アキやクーナから〕<br>〔たくさん〕〔教えてもらった！〕"""
un_064170_0270#0,"""〔他の龍族も〕〔これからもっと〕<br>〔外に興味を〕〔持っていけば〕<br>〔龍族の未来は〕〔明るい〕"""
un_064170_0280#0,"""〔レラの言う通り。<br>この先は、誰もわからぬ未来。<br>ただ、貴方の活躍を心から願う〕"""
un_064170_0290#0,"""〔龍族も、貴方がたと同じ未来を。<br>コのレラ、貴方が中心となって<br>龍族と、アークスの交流を〕"""
un_064170_0300#0,"""〔はい〕〔カミツ様！〕<br>〔私には〕〔知っているアークスが〕<br>〔たくさんいる〕"""
un_064170_0310#0,"""〔これからも〕<br>〔仲良くしていくぞ！〕"""
