un_062030_0010#0,"""そう言えば、新設された<br>ファントムってクラス、知ってる？"""
un_062030_0020#0,"""ウワサでは、なんでも<br>アークスの「影」として活躍する<br>クラスだとか……"""
un_062030_0030#0,"""虚空機関とは関係ないだろうけど<br>やっぱり、どうしても気になるのよね。<br>あたしとしてはさ。"""
un_062030_0040#0,"""承認した上層部は<br>アークスに必要な存在だって<br>考えてるみたいだけど……"""
un_062030_0050#0,"""後ろ暗い事に手を染めるアークスなんて<br>いない方がいいに決まってる。"""
un_062030_0060#0,"""なのに、自分から「影」になって<br>汚れ仕事もいとわないなんて……<br>あたしは、認めたくない。"""
un_062030_0070#0,"""その道は……<br>不幸にしか続かないのに……"""
un_062030_0080#0,"""……って<br>本人に直接言った方が、早いか。"""
un_062030_0090#0,"""フン、俺の気配に気づくとはな。"""
un_062030_0100#0,"""えーと、一応聞いてみるけど……<br>ファントム提唱者のキョクヤさんは<br>わたしの歌を聞きに来てくれたのかな？"""
un_062030_0110#0,"""……くだらんな。"""
un_062030_0120#0,"""じゃあ、あらためて聞くけど<br>なぜ「影」として生きる道を選ぶの？<br>不幸にしか続かない、その道を。"""
un_062030_0130#0,"""ヒーローという<br>“光”のクラスが生まれた今……<br>“影”も自然と生じるもの。"""
un_062030_0140#0,"""俺に、“光”は眩しすぎる。<br>だから“影”として生きる道を選んだ。<br>……幸か不幸かは、俺が決める。"""
un_062030_0150#0,"""「光」をささえる「影」になれれば<br>自分は幸せだっていうことかな……？<br>でも、さ……"""
un_062030_0160#0,"""「影」の力が足りなければ<br>「影」そのものに飲み込まれ……<br>命を落とすことになります。"""
un_062030_0170#0,"""……流石は、情報部次席。<br>ただのお飾りでは無いようだな。"""
un_062030_0180#0,"""とはいえ“光”と“闇”のはざまを<br>たゆたう存在が、俺に“影”の濃度で<br>勝てるのかどうか……"""
un_062030_0190#0,"""……たしかに、その力を得るために<br>相当の努力をしたようですね。"""
un_062030_0200#0,"""ククク……努力、だと？<br>笑わせるな。"""
un_062030_0210#0,"""努力など……<br>“影”の道を歩むために生まれた<br>天賦の才を持つ俺には、不要。"""
un_062030_0220#0,"""他に道を探さなかったのですか？<br>「影」として生きることを選べば<br>時に大切な人をも傷つけます。"""
un_062030_0230#0,"""誰も愛せず……<br>誰からも愛されることのない道です。<br>本当に、それを理解していますか？"""
un_062030_0240#0,"""ククク……可笑しなことを言う。<br>“影”は“光”の当たらぬ処に生じる。<br>二つが交わることは、決して無い。"""
un_062030_0250#0,"""“光”の世界しか知らぬ者は<br>“影”を知る程に深く失望し……<br>“影”に近付けば深く傷つくだろう。"""
un_062030_0260#0,"""ゆえに、“影”には……<br>誰かを愛し、愛される資格など<br>初めから存在しない。"""
un_062030_0270#0,"""お前は俺に、これから歩む道の覚悟を<br>問うたようだが、俺が立っているのは<br>その道の始点ではない……終点だ。"""
un_062030_0280#0,"""あなたの背負った悲しみと覚悟……<br>それが、「影」の根幹なのですね。"""
un_062030_0290#0,"""……お前こそ<br>どれほどの悲しみを背負っているのか<br>俺には想像もつかないが……"""
un_062030_0300#0,"""お前に“影”は似合わない。<br>人に安らぎを与え、笑顔にできる力……<br>それは、ふたつとない強い“光”だ。"""
un_062030_0310#0,"""フン……少し、口が過ぎたな。<br>さらばだ。"""
un_062030_0320#0,"""なにあれ！<br>この「六芒の零」に向かって<br>生意気すぎでしょ！"""
un_062030_0330#0,"""でも、彼の思いは伝わったよ。<br>きっと、大切な人を傷つけたくなくて<br>遠ざける言動をしてるんだね。"""
un_062030_0340#0,"""あと、本人は否定してたけど<br>あれは多分、想像もつかないほどの<br>努力家だと思う。"""
un_062030_0350#0,"""何としても成し遂げたい<br>とても強い思いがあるんだろうね……<br>よし、彼を信じてみるとしますか！"""
