IncidentName#0,"""擊敗$(0)"""
TrialBeginMsg#0,"""擊敗$(0)！<br>只要$(1)無法戰鬥2次即告失敗。"""
TrialAbstract#0,"""擊敗$(0)！<br>只要$(1)無法戰鬥2次即告失敗。"""
IncidentName#1,"""$(0)撃破"""
TrialBeginMsg#1,"""$(0)を撃破せよ！<br>パートナーが2回戦闘不能になったら失敗。"""
TrialAbstract#1,"""$(0)を撃破せよ！<br>パートナーが2回戦闘不能になったら失敗。"""
NpcComOnFailure#0,"""雖然可惜，不過也沒辦法。<br>ARKS就由我們來回收……<br>等等，這……？\u3000反應消失……？"""
NpcComOnDownB#0,"""對方承受了相當大<br>的負擔。下次失敗時<br>我必須建議對方撤退。"""
NpcComOnFailure#1,"""残念ですが、仕方がありません。<br>対象のアークスはこちらで回収を……<br>って、あれ……？\u3000反応消失……？"""
NpcComOnDownB#1,"""対象のアークスに多大な負担が<br>かかっています。次の失敗時には<br>撤退を推奨させてもらいます。"""
NpcComOnFailure#2,"""……到此為此啊。沒辦法。<br>ARKS就由我們來回收……<br>……什麼？\u3000反應消失了……？"""
NpcComOnDownB#2,"""ARKS的負擔太大了。<br>下次無法戰鬥時，<br>要讓強制讓ARKS撤退。"""
NpcComOnFailure#3,"""……ここまでだ、仕方があるまい。<br>対象のアークスはこちらで回収を……<br>……何？\u3000反応が消失しただと……？"""
NpcComOnDownB#3,"""対象のアークスに負担がかかりすぎだ。<br>次、戦闘不能になった場合には<br>強制的に対象を撤退させるぞ。"""
NpcComOnFailure#4,"""……嗚嗚，雖然可惜，但也只能撤退了。<br>回收ARKS……<br>等等，這？\u3000反應消失了……？"""
NpcComOnDownB#4,"""啊！一起並肩作戰的ARKS<br>的負擔太大了！\u3000下次撐不住時，<br>不管如何都得讓他撤退！"""
NpcComOnFailure#5,"""……うう、残念ですけどここまでです。<br>対象のアークスさんを回収して……<br>って、あれあれっ？\u3000反応が消えた……？"""
NpcComOnDownB#5,"""ああっ、一緒に戦ってるアークスさんに<br>負担がかかりすぎです！\u3000次やられたら<br>無理矢理でも撤退させちゃいます！"""
