name_7418#0,"""ベルクマン"""
ssn_013090_0001#0,"""おう、あんたか。<br>調子はどうだ？"""
ssn_013090_0002#0,"""このあいだのデータは、<br>大切にしているぞ。"""
ssn_013090_0101#0,"""よう。<br>今って、時間あったりするか？"""
ssn_013090_0102#0,"""また、頼みごとをできたらと思っているんだ。"""
ssn_013090_0201#0,"""そうか……。<br>時間があったら、声をかけてくれ。"""
ssn_013090_0301#0,"""山と海ときたら、<br>次はなんだろうと考えてな。"""
ssn_013090_0302#0,"""そういや、近場に湿原があるなと、<br>思い至ったんだ。"""
ssn_013090_0303#0,"""のどかな雰囲気だけど、戦えば水浸しになるし、<br>正直あんまりいい思い出はないんだが……。"""
ssn_013090_0304#0,"""しばらく行ってないと、<br>懐かしくもなるんだよな。"""
ssn_013090_0305#0,"""いつものように、データを送ってもらえないか？"""
ssn_013090_0306#0,"""時間があるときでいいからさ。<br>頼むよ。"""
