un_020360_0010#0,"""โอ๊ะ <%me><br>ไม่ได้เจอกันนานเลยนะ สบายดีป่ะ? """
un_020360_0020#0,"""ข้าน่ะรึ? ตามที่ท่านเห็น ข้าเหมือน<br>จะปึ๋งปั๋งอยู่ก็จริงแต่ตอนนี้ข้าอยู่ใน<br>โหมดเหนื่อยสุดๆ ไปเลยอยู่นะ?"""
un_020360_0030#0,"""ข้าไม่คิดมาก่อนเลยว่า<br>การฝึกของคุณพี่แกเขา<br>จะโหดนรกขนาดนี้"""
un_020360_0040#0,"""หากข้าป้องกัน แม้เพียงครั้งเดียว ข้าโดนฆ่า<br>หรือว่าคุณพี่แกเขาป้องกันได้ข้าก็โดนฆ่า<br>ต้องโจมตีให้เข้าเป้าทั้งหมดและหลบให้ได้ทั้งหมด"""
un_020360_0050#0,"""แถมถ้าเกิดเอาจริงมากโจมตีโดน<br>คุณพี่แกแรงเกินไปล่ะก็คุณพี่แก<br>เขาจะปล่อยรังสีฆ่าฟันออกมาเลยล่ะ?"""
un_020360_0070#0,"""ด้วยการฝึกที่บ้าระห่ำแบบนั้น<br>ทำให้ข้าแข็งแกร่งขึ้นก็จริงแต่พูดตรงๆ<br>ทำเอาข้ากลัวจนแทบไม่อยากมีชีวิตอยู่เลยล่ะ"""
un_020360_0080#0,"""อาแน่นอน ตอนนี้เองข้าก็กำลังอยู่ระหว่าง<br>ฝึกอยู่ ด้วยการกำจัด D-arkers โดย<br>ที่ไม่ให้ ARKS คนอื่นๆ เห็นตัวน่ะนะ"""
un_020360_0090#0,"""และถ้านี่ล้มเหลวคุณพี่แกคงจะต้อง<br>บอกว่าจะ [ฆ่า] ข้าทิ้งแน่<br>ยิ่งแก่ยิ่งเลือดร้อนนะ ยัยคุณป้านั่น"""
un_020360_0100#0,"""เอ๊ะ? ถูกท่านเห็นตัวแล้ว?<br>......เอ่อ อืม คงไม่เป็นไรมั้ง?<br>ไม่สิ คงเป็นไรแหงเลย......"""
un_020360_0110#0,"""......รู้สึกว่าพลาดไปซะแล้วสิ<br>ข้าเห็นภาพที่ตัวเองถูก<br>เชือดลอยขึ้นมาเลยล่ะ"""
un_020360_0120#0,"""......ถ้าตอนที่คับขันแล้ว<br>ข้าไม่ได้มาช่วย ก็คิดไว้ได้เลย<br>ว่าข้าถูกคุณพี่แกเชือดทิ้งไปแล้ว"""
un_020360_0010#1,"""おっ、<%me><br>久しぶりだな、元気してるか？"""
un_020360_0020#1,"""オレ？\u3000オレは見ての通り<br>ピンピンしてるように見えて<br>相当お疲れモードだぞ？"""
un_020360_0030#1,"""まさか姐さんの特訓が<br>ここまで過酷というか<br>理不尽とは思わなかったぜ。"""
un_020360_0040#1,"""一度でも攻撃を防御したら殺す。<br>防御されても殺す、全部避けて<br>全部当てろ、とかな。"""
un_020360_0050#1,"""必死こいて攻撃当てたら<br>当てられたことに怒り出して<br>すさまじい殺気放ってくるんだぜ？"""
un_020360_0070#1,"""その無茶苦茶な毎日のおかげで<br>相当に鍛えられた気もするんだが<br>正直、生きた心地がまったくしない。"""
un_020360_0080#1,"""ああもちろん、今も特訓中だよ。<br>ほかのアークスに目撃されずに<br>ダーカーを殲滅しろ、ってな。"""
un_020360_0090#1,"""これも失敗したら、「殺る」って<br>言われるんだろうよ。<br>老いてますます血気盛んな婆さんだ。"""
un_020360_0100#1,"""え？\u3000お前さんに見られてる？<br>……あー、まあ、大丈夫だろ？<br>大丈夫じゃねえかな、たぶん……"""
un_020360_0110#1,"""……なんかダメな気もしてきた。<br>殺られてる自分のビジョンが<br>容易に想像できちまうぞ。"""
un_020360_0120#1,"""……いざという時、オレが<br>駆けつけなかったら、その時は<br>姐さんに殺られたものと思ってくれ。"""
