Title#0,"""輝光を砕く母なる神"""
Explanation#0,"""『守護輝士』に緊急連絡。<br>衛星・月および地球にて<br>エーテルの暴走励起と尋常ならざる<br>巨大な幻創種の反応を検知した。<br>これまでに培ったすべての力を用いて<br>単独でこれを撃破せよ。<br>極めて危険な任務だが完遂を望む。<br>――――――――――――――――――――<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""時間内にエネミーを全て撃退せよ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
NpcComMsg1#0,"""これより、転送を開始します。<br>最初の目標は、月面に出現した<br>巨大幻創種の撃破です。"""
NpcComMsg2#0,"""目標確認後、速やかに<br>攻撃を開始し、撃破してください！<br>お気をつけて！"""
NpcComMsg1#1,"""連戦となりますが<br>地球に突如出現した巨大反応付近に<br>転送します。"""
NpcComMsg2#1,"""厳しい戦いが予想されますが<br>貴方なら、きっと大丈夫です！<br>どうか、お気をつけて！"""
Area0S#0,"""月面"""
Area0L#0,"""衛星・月\u3000月面"""
Area1S#0,"""幻創の柱"""
Area1L#0,"""衛星・月\u3000幻創の柱"""
Area2S#0,"""世界樹"""
Area2L#0,"""惑星・地球\u3000世界樹"""
Area3S#0,"""世界樹の頂"""
Area3L#0,"""惑星・地球\u3000世界樹の頂"""
Area1S#1,"""月面"""
Area1L#1,"""衛星・月\u3000月面"""
Area3S#1,"""イースター島"""
Area3L#1,"""惑星・地球\u3000イースター島"""
QuestInfoPlanetName#0,"""衛星・月"""
