IncidentName#0,"""หลบหลีก Vizbolt!"""
TrialBeginMsg#0,"""หลบหลีก Vizbolt!<br>หากหลบไม่พ้น $(0) ครั้งภารกิจจะล้มเหลว"""
TrialAbstract#0,"""หลบหลีก Vizbolt!"""
TrialLightningStrike#0,"""$(0) ถูกโจมตี จำนวนครั้งที่โดน: $(1)"""
TrialDarkerKilledInfo#0,"""อีก $(0) ครั้งจนกว่า Vizbolt จะหยุด"""
TrialDegradationInfo#0,"""Vizbolt หยุดลงแล้ว!"""
IncidentName#1,"""ヴィスボルトを回避せよ！"""
TrialBeginMsg#1,"""ヴィスボルトの攻撃を回避し続けろ。<br>$(0)回以上被雷したら失敗。"""
TrialAbstract#1,"""ヴィスボルトの攻撃を回避し続けろ。"""
TrialLightningStrike#1,"""$(0)が被雷した。総被雷数$(1)回。"""
TrialDarkerKilledInfo#1,"""ヴィスボルトの規模抑制まで、あと$(0)体。"""
TrialDegradationInfo#1,"""ヴィスボルトの規模が抑制された！"""
NpcComOnBegin#0,"""ฉุกเฉิน! ยืนยันการเกิด Vizbolt!<br>นี่คืออาวุธที่เปลี่ยนสภาพอากาศที่พวก D-arker สร้างขึ้นมา<br>พยายามหลบให้ได้!"""
NpcComOnSuccess#0,"""/face2 Vizbolt หยุดลงแล้ว!<br>โชคดีที่เกิดความเสียหายขึ้นน้อยมาก..."""
NpcComOnFailure#0,"""/face4 Vizbolt หยุดลงแล้ว...<br>แต่เกิดความเสียหายขึ้นมากมาย<br>โปรดกลับไปปฏิบัติหน้าที่ของท่านต่อเถอะ"""
NpcComOnBeginTrial#0,"""Vizbolt ปรากฏขึ้นในช่วงระยะเวลาหนึ่งเท่านั้น<br>พยายามหลบหลีกโดยให้เกิดความเสียหายน้อยที่สุด"""
NpcComOnLightningStrike#0,"""แหล่งที่ทำให้เกิด Vizbolt อยู่ใกล้มาก<br>ถ้ากำจัดมันได้ ก็จะหยุด Vizbolt ได้"""
NpcComOnOneLife#0,"""ท่านไม่สามารถถูก Vizbolt ได้อีกแล้ว!<br>จงพยายามทำทุกอย่างเพื่อหลบหลีกจนกว่าจะผ่านไปได้!"""
NpcComOnBegin#1,"""緊急指令！\u3000ヴィスボルトの発生を<br>確認しました。ダーカーの干渉による<br>天候兵器です！\u3000回避してください！"""
NpcComOnSuccess#1,"""/face2 ヴィスボルトの停止確認！<br>被害は最小限に抑えられました。<br>よかった……"""
NpcComOnFailure#1,"""/face4 ヴィスボルトの発生は止めましたが……<br>被害は甚大です。通常任務に<br>戻りますが、無理はしないように。"""
NpcComOnBeginTrial#1,"""ヴィスボルトの発生時間には限りが<br>あります。被害を抑えるためにも<br>なんとか回避しつづけてください！"""
NpcComOnLightningStrike#1,"""ヴィスボルト発生の干渉源が<br>付近にいるようです。殲滅できれば<br>発生規模を抑制できます！"""
NpcComOnOneLife#1,"""これ以上、ヴィスボルトを<br>受けるのは危険です！<br>残り時間、何とか回避してください！"""
