name_7418#0,"""貝爾克曼|ベルクマン"""
ssn_011100_0001#0,"""這中央都市還不錯吧？"""
ssn_011100_0002#0,"""天放晴的時候，不如登上防護墻看看。<br>能眺望到美景哦。"""
ssn_011100_0101#0,"""話說回來，你現在有時間嗎？<br>我有點事情想拜託你。"""
ssn_011100_0102#0,"""這艾亞利奧，不是有很多山頭嘛？<br>我以前啊，經常會攀登呢。"""
ssn_011100_0103#0,"""我以前，本來也是奮戰在與DOLLS交戰最前線的一名ARKS，<br>可後來受了傷，出了很多事……"""
ssn_011100_0104#0,"""而現在呢，我就在都市裡工作。"""
ssn_011100_0105#0,"""每天忙這忙那的，<br>就連外出的機會都減少了。"""
ssn_011100_0106#0,"""可這有時候，我忽然就想啊。<br>想著要是能再去一趟，以前曾經去過的地方就好了。"""
ssn_011100_0107#0,"""你不是會這啊那地到處跑嘛？<br>要是可以的話，能不能麻煩你登上山頭，把那邊的景色發過來呀？"""
ssn_011100_0108#0,"""不過嘛，等你有空的時候就行。<br>就拜託你啦。"""
ssn_011100_0201#0,"""這樣啊……你很忙啊。<br>那就下次再麻煩你吧。"""
