name_7405#0,"""シュラフト"""
ssn_015201_0001#0,"""では、説明していくとしよう。"""
ssn_015201_0002#0,"""キミは“バトルディア\""を知っているか？"""
ssn_015201_0003#0,"""これは、エネミーを倒すことに特化した、<br>特別な訓練施設だ。"""
ssn_015201_0004#0,"""各地にある“ポータル”にアクセスすることで、<br>アクセスすることができる。"""
ssn_015201_0010#0,"""各地にある“ポータル”にアクセスすることで、<br>挑戦することができる。"""
ssn_015201_0005#0,"""ただし、ポータルを起動するためには、<br>バトルトリガーという鍵が必要になる。"""
ssn_015201_0011#0,"""ただし、ポータルを起動するためには、<br>“バトルトリガー”という鍵が必要になる。"""
ssn_015201_0006#0,"""まずは、エアリオリージョンにある<br>“バトルディア：イエロー”に挑戦してみるのがよいだろう。"""
ssn_015201_0007#0,"""今回は特別に、<br>俺からバトルトリガーを渡そう。"""
ssn_015201_0008#0,"""エアリオのイエローポータルは、西エアリオにある。<br>健闘を祈るぞ！"""
ssn_015201_0012#0,"""エアリオの“イエローポータル”は、西エアリオにある。<br>健闘を祈るぞ！"""
ssn_015201_0009#0,"""Bトリガー/コモンイエローを5個入手しました。"""
