IncidentName#0,"""กำจัด $(0)"""
TrialBeginMsg#0,"""กำจัด $(0) ทุกตัวที่ท่านพบ!"""
TrialAbstract#0,"""กำจัด $(0) ทุกตัวที่ท่านพบ!"""
IncidentName#1,"""$(0)討伐"""
TrialBeginMsg#1,"""$(0)を討伐せよ！"""
TrialAbstract#1,"""$(0)を討伐せよ！"""
NpcComOnBegin#0,"""อ๊ะ...เอ๊? รายการฝึกฝนมีแบบนี้ด้วยเหรอ<br>แปลกจังเลยแฮะ.....<br>ยังไงก็เถอะ ต้องทำลายมันแล้วล่ะ!"""
NpcComOnSuccess#0,"""/face2 อ่า.... แบบนี้มันหรือว่า....<br>อะไรก็เถอะ สู้ได้ดีมาก!<br>เหนื่อยหน่อยนะ!"""
NpcComOnFailure#0,"""เออ....ทุกคน....<br>เป็นอะไรหรือเปล่าค่า...?"""
HP_Under_50#0,"""/face2 $(0) กำลังค่อยๆ อ่อนแรงลง!"""
HP_Under_10#0,"""/face2 โอ้ อีกนิดเดียว $(0) ก็จะแพ้แล้ว!"""
NpcComLastEnemy#0,"""/face2 เหลืออีกแค่หนึ่งตัวค่ะ!"""
NpcComOnBegin#1,"""あ、あれ？\u3000こんな訓練メニュー<br>入れてたっけ……おかしいな……<br>とにかく、倒すしかないですよ！"""
NpcComOnSuccess#1,"""/face2 あー、これはもしかして……<br>な、なにはともあれ、ナイスファイト！<br>お疲れ様でした！"""
NpcComOnFailure#1,"""み、みなさーん……<br>大丈夫ですかー？"""
HP_Under_50#1,"""/face2 $(0)が<br>だんだん弱ってきましたよ！"""
HP_Under_10#1,"""/face2 お、あと少しで$(0)を<br>倒せそうですよ！"""
NpcComLastEnemy#1,"""/face2 残り一体です！"""
