ssc_013060_0010#0,"""おお！\u3000誰かと思えばキミか！"""
ssc_013060_0020#0,"""ぶえっくし！"""
ssc_013060_0030#0,"""いやぁ、防寒着が古くなってきてるんだ。<br>さすがの俺もこたえる。"""
ssc_013060_0040#0,"""そうか、クッカが用意してくれたのか。<br>こいつはありがたい！"""
ssc_013060_0050#0,"""これで、調査もはかどるというものだ。<br>あとで礼を言っておかないとな。"""
ssc_013060_0060#0,"""キミも届けてくれて、ありがとう！"""
ssc_013060_0070#0,"""む？\u3000ロッジに帰るのか？<br>ちょっと待ってくれ。"""
ssc_013060_0080#0,"""ついでにこれをメリに届けてくれないか？"""
ssc_013060_0090#0,"""綺麗だろ。ここでとれたんだ。"""
ssc_013060_0100#0,"""メリが喜ぶんじゃないかと思ってな。"""
ssc_013060_0110#0,"""あいつには留守番ばかりさせて悪いからな。<br>ちょっとした贈り物だ。"""
ssc_013060_0120#0,"""俺はまだ調査が残っているんだ。<br>だからキミから渡してくれ。ではな！"""
