un_047010_0010#0,"""あら、あらあらあら？<br>おかしいですねえ、おかしいですねえ。"""
un_047010_0020#0,"""リサの記憶領域が確かなら<br>敵さんとして登録されているお方が<br>いらっしゃるようですけども……？"""
un_047010_0030#0,"""あ、えっと……その……"""
un_047010_0040#0,"""もしかして、侵入者ですかあ？<br>また来てくれたんですかあ？"""
un_047010_0050#0,"""ふふふ、リサは大歓迎ですよお。<br>おかげさまで、有事の時には船の中でも<br>銃を撃ち放題になったんですからねえ！"""
un_047010_0060#0,"""……撃てませんねえ。<br>銃の不調でしょうか？"""
un_047010_0070#0,"""ちょちょちょちょちょっと！<br>落ち着いてください！<br>わたし、もう敵じゃありませんから！"""
un_047010_0080#0,"""敵さんはですねえ、命乞いをするときには<br>皆さんそろってそう言うんですよ？"""
un_047010_0090#0,"""う……確かにそうかも……！<br>しかも見逃してもらっても、その後<br>「バカめ！」とか言って背後から襲いかかるよね！"""
un_047010_0100#0,"""そんでもって、その行動すら見透かされてて<br>だまし討ちも避けられちゃって万事休す……<br>言い訳命乞いを重ねちゃうやつだよね！"""
un_047010_0110#0,"""……そうじゃなく！"""
un_047010_0120#0,"""み、みんなー、フォローしてよー……<br>……って、どうして傍観の構えなの！"""
un_047010_0130#0,"""いやあ……なんだか懐かしいなあって。<br>あたしも初対面、あんな感じだったかも。"""
un_047010_0140#0,"""……オレにもいきなりガッと来たな。<br>昨日のことのように思い出せるぜ。"""
un_047010_0150#0,"""兄妹そろってしみじみと回想中ッ！？<br>ひーん、<%me>さーん！"""
un_047010_0160#0,"""１．これも通過儀礼だから"""
un_047010_0170#0,"""２．そういえば敵だったような……"""
un_047010_0180#0,"""アークスってどういう組織なんですかッ！"""
un_047010_0190#0,"""この状況だと冗談にもならないッ！"""
un_047010_0200#0,"""リサはですねえ、興味津々なんです。<br>地球のひとを銃で撃ったときの感触が<br>アークスのそれとどれだけ違うのか。"""
un_047010_0210#0,"""そ、それってアークスの人たちを<br>撃ったことがあるって意味……？"""
un_047010_0220#0,"""誤射というものは<br>３回までなら許してもらえますから。"""
un_047010_0230#0,"""それ絶対に意図的にやってるやーつ！"""
un_047010_0240#0,"""……ああ！\u3000それならこういうのはどうです？<br>敵さんでないのなら、リサと一緒に出撃して<br>その能力を示してみせるというのは？"""
un_047010_0250#0,"""誤射されるよね！<br>今の話の流れからすると<br>わたしが誤射される展開だよねッ！"""
