msc_040120_0010#0,"""どういうこと？<br>アークスが、襲ってくるなんて……！"""
msc_040120_0020#0,"""……っ、まだ来る……！"""
msc_040120_0030#0,"""<%me>、どうする？<br>このままでは、また……。"""
msc_040120_0040#0,"""戦おう。"""
msc_040120_0050#0,"""退却すべきだ。"""
msc_040120_0060#0,"""でも、これじゃキリがないよ！"""
msc_040120_0070#0,"""そうは言っても、退路も塞がれてしまっているわ。"""
msc_040120_0080#0,"""せめてどこか、別の道でもあれば……。"""
msc_040120_0090#0,"""……別の道？"""
msc_040120_0100#0,"""……あそこ！"""
msc_040120_0110#0,"""何？\u3000空間が……揺れてる？"""
msc_040120_0120#0,"""これは、ディメンションリッパー……？<br>でも、どうしてこんな場所に？"""
msc_040120_0130#0,"""わからない。けど、通れるはず！"""
msc_040120_0140#0,"""話し合ってる暇はない。行くわよっ！"""
name01#0,"""？？？"""
