ssc_506060_0010#0,"""……そういえば、聞いたぞ。<br>“弔いの歌”のことを。"""
ssc_506060_0020#0,"""ああ、お前か。<br>ちょうどいい、話に加われ。"""
ssc_506060_0030#0,"""“弔いの歌”は、<br>ルシエルの施設内で流れていたものだそうだな。"""
ssc_506060_0040#0,"""……ええ。"""
ssc_506060_0050#0,"""どういう経緯で、リテムに伝わったのかは、<br>わからないけれど。"""
ssc_506060_0060#0,"""“戦いの歌”も知っていた？"""
ssc_506060_0070#0,"""ほかにも、知っている歌はある？"""
ssc_506060_0080#0,"""ええ、そうね。"""
ssc_506060_0090#0,"""“戦いの歌”も、聴いたことがあったわ。"""
ssc_506060_0100#0,"""あなたにも話したとおり、<br>“弔いの歌”は作業の区切りの時間に流れていた。"""
ssc_506060_0110#0,"""“戦いの歌”も同じ。"""
ssc_506060_0120#0,"""ルシエルの膨大なデータベースのなかには、<br>音楽に関するものもあったの。"""
ssc_506060_0130#0,"""たくさんの楽曲の音声や映像が、<br>ライブラリーに収められていたわ。"""
ssc_506060_0140#0,"""楽曲が、たくさん……。"""
ssc_506060_0150#0,"""昔の私は、<br>そういうものには興味がなくて……。"""
ssc_506060_0160#0,"""意識的に、触れようとすることはなかった。"""
ssc_506060_0170#0,"""でも、ふたつの曲は聞きなじんでいたから、<br>ふと調べてみて、歌詞があることを知ったの。"""
ssc_506060_0180#0,"""それから、幾度か聴くうちに、<br>口ずさめるくらいには記憶していたようね。"""
ssc_506060_0190#0,"""……リテムにも、<br>同じ歌が伝わっていたと知って驚いたわ。"""
ssc_506060_0200#0,"""そうだったのか。"""
ssc_506060_0210#0,"""たくさんの楽曲と言ったな。<br>ほかにはどんなものがあるのだ？"""
ssc_506060_0220#0,"""詳しいことはわからないけれど、<br>すごく多彩なのは確かね。"""
ssc_506060_0230#0,"""楽器も、<br>いろいろなものがあるようね。"""
ssc_506060_0240#0,"""ふーむ……。"""
ssc_506060_0250#0,"""それらは、おそらく、<br>リサージェントアークスが作ったものではないわ。"""
ssc_506060_0260#0,"""ネームレスシティよりも、<br>もっと遠く……。"""
ssc_506060_0270#0,"""“外の世界”で、<br>作られたもの……じゃないかしら。"""
ssc_506060_0280#0,"""外の世界……。<br>そこには、無数の音楽が存在するのか……。"""
ssc_506060_0290#0,"""そのライブラリーというのは、<br>私も見ることができるのか？"""
ssc_506060_0300#0,"""すべてではないけれど、<br>ハルファの端末からもアクセスできるわ。"""
ssc_506060_0310#0,"""それは、ありがたい。"""
ssc_506060_0320#0,"""歌は、誰が作ったのか。<br>どのようにして作られたのか。"""
ssc_506060_0330#0,"""そういったことは、<br>ずっとわからないままだった。"""
ssc_506060_0340#0,"""そうしたなかで、歌は特別なものとなり、<br>民からは遠いものとなっていった。"""
ssc_506060_0350#0,"""儀式のための大切なもの……。"""
ssc_506060_0360#0,"""その考えを、否定するつもりはない。"""
ssc_506060_0370#0,"""だが、音楽というのは本来、<br>そんなに堅苦しいものではないという気がしていた。"""
ssc_506060_0380#0,"""その考えが正しかったと、<br>今の話で確信した。"""
ssc_506060_0390#0,"""リテムの民は、<br>みんな音楽が好きだ。"""
ssc_506060_0400#0,"""もっと、気楽に、<br>自由に楽しんでほしい。"""
ssc_506060_0410#0,"""もし、差し支えなければ、<br>そのライブラリーの楽曲を、皆に広めたい。"""
ssc_506060_0420#0,"""いい考えだ。"""
ssc_506060_0430#0,"""みんなで歌いたい。"""
ssc_506060_0440#0,"""そうね。"""
ssc_506060_0450#0,"""ええ、私も。"""
ssc_506060_0460#0,"""ありがとう。"""
ssc_506060_0470#0,"""フフフ……。<br>皆の驚く顔が、目に浮かぶ。"""
ssc_506060_0480#0,"""まずは、ハーディたちに、<br>聴かせてみたいものだ。"""
