name_7210#0,"""Slona"""
ssn_005070_0001#0,"""Welcome to Central."""
ssn_005070_0002#0,"""Many ARKS live here. There's a good range of facilities available as well, so definitely take a look around."""
ssn_005070_0101#0,"""Are you familiar with Regional Mags?"""
ssn_005070_0051#0,"""If not, please allow me to inform you."""
ssn_005070_0052#0,"""Alright, let's begin."""
ssn_005070_0102#0,"""You might see what look like giant Mags dotted around Halpha. We call them Regional Mags."""
ssn_005070_0103#0,"""It's said that \""good things\"" may happen if you give items to a Regional Mag."""
ssn_005070_0104#0,"""If you see one out there, definitely give it a try."""
ssn_005070_0201#0,"""Hey, you're back! It looks like you found a Regional Mag."""
ssn_005070_0202#0,"""I wonder if you'll be able to feel the effects of the \""good thing\"" right away..."""
ssn_005070_0203#0,"""There are plenty of other Regional Mags out there, with their own special effects."""
ssn_005070_0204#0,"""If you find any others, be sure to offer them something."""
ssn_005070_0301#0,"""Oh... I'll see you some other time then."""
