un_042020_0001#0,"""A.D.2028/3/24"""
un_042020_0010#0,"""呼唔唔唔……啊啊啊啊……<br>好久沒走過這麼遠的路了，好累哦……"""
un_042020_0020#0,"""那你倒是回自己的房間去睡啊。"""
un_042020_0030#0,"""火継你應該再多犒勞犒勞<br>陪著自己買了一整天東西的朋友嘛。"""
un_042020_0040#0,"""你說是不是呀，阿有弟弟？<br>阿有弟弟也一起來陪我睡嘛－－<br>火継的床，真的好軟好軟呢。"""
un_042020_0050#0,"""我知道的。<br>我也在那裡睡過嘛。"""
un_042020_0060#0,"""什麼……你在那裡睡過……！<br>等、等等呀火継！<br>這是怎麼個情況……！"""
un_042020_0070#0,"""你別給我搞些什麼奇怪的想象！<br>只是回過神來，阿有就躺在床上罷了。"""
un_042020_0080#0,"""也就是說，這張床上同時有著<br>火継的汗味和阿有弟弟的汗味……"""
un_042020_0090#0,"""那不如，就再加上我這滿身的汗水<br>交織成奇跡般的混合物……！"""
un_042020_0100#0,"""別這樣，老實說很惡心欸。"""
un_042020_0110#0,"""……不過，確實是流了點汗沒錯。"""
un_042020_0120#0,"""畢竟今天外面艷陽高照嘛。<br>阿有弟弟是不是也流了汗呀？"""
un_042020_0130#0,"""……是稍微有點黏糊糊的。"""
un_042020_0140#0,"""唔－－，好不容易買來的衣服會被搞髒<br>而且時間也剛剛好，感覺確實<br>還是先去洗個澡會比較好。"""
un_042020_0150#0,"""欸，對了火継。"""
un_042020_0160#0,"""怎麼？"""
un_042020_0170#0,"""阿有弟弟他，洗澡要怎麼辦呀？"""
un_042020_0180#0,"""……啊。"""
un_042020_0190#0,"""……那個，感覺<br>下一段斷片記錄<br>是不是還是跳過一下會比較好？"""
un_042020_0200#0,"""偷窺人家不太好"""
un_042020_0210#0,"""收集情報很重要"""
un_042020_0220#0,"""這、這不是偷窺啦！<br>這很明顯就是在收集情報！"""
un_042020_0230#0,"""所以說呢，也沒必要感覺有什麼<br>好抱歉或者好愧疚的……<br>只是靜靜地播放一下斷片情報而已啦。"""
un_042020_0240#0,"""……不過，<%me>您<br>一邊讓我這麼做<br>其實您自己也是會看的吧？真是好賴皮呀。"""
un_042020_0250#0,"""這、這真是何等無所畏懼的言辭！"""
un_042020_0260#0,"""……我明白了！<br>既然<%me>您都有了如此深刻的覺悟<br>那我也定當鼎力相助！"""
un_042020_0270#0,"""……不過，要是以後哪天被罵了<br>那<%me>您要和我<br>一起去道歉哦。"""
