name01#0,"""Ashtalt"""
text01#0,"""During individual lessons, you will be given a Quiz on ARKS fundamentals."""
text02#0,"""If you get all questions in a category correct, you will be given a reward. So feel free to challenge the quizzes."""
text03#0,"""Which category would you like to challenge?"""
text04#0,"""I see.<br>Well then, please come back and challenge the quizzes when you have more time."""
name01#1,"""アスタルテ"""
text01#1,"""個人授業では<br>アークスに関する基本的な<br>クイズを出題します。"""
text02#1,"""各カテゴリごとに全問正解すると<br>ご褒美もありますので、<br>ぜひ挑戦してみてください。"""
text03#1,"""どのカテゴリに<br>挑戦なさいますか？"""
text04#1,"""そうですか。<br>ではまたお時間のある時に<br>挑戦してみて下さい。"""
text00#0,"""Fundamental Knowledge Questions (Three Questions Total)"""
text01#0,"""Photon Questions (Three Questions Total)"""
text02#0,"""Questions about the various Races (Four Questions Total)"""
text03#0,"""Quit"""
text00#1,"""基本知識についての問題(全3問)"""
text01#1,"""フォトンについての問題(全3問)"""
text02#1,"""種族についての問題(全4問)"""
text03#1,"""やめる"""
