name01#0,"""希爾達"""
name02#0,"""普通攻擊"""
11_voice_navi02_103#0,"""好，看來已充分熱身了。<br>那麼接下來說明<br>攻擊方法的教學。"""
11_voice_navi02_104#0,"""來，實際操作武器看看。"""
text00#0,"""關於武士的『攻擊方法』、『蓄力射擊』"""
text01#0,"""教學<br>說明武士的『攻擊方法』。<br><br>武士是善於遠近戰鬥的類型，<br>不論是近身攻擊用的刀，還是利於<br>遠距攻擊的強弓都可純熟地運用自如。<br><br>開始進行射擊武器「強弓」的使用訓練。"""
text100#0,"""以<%NormalAttack>進行普通攻擊！"""
text1000#0,"""以<%NormalAttack>進行普通攻擊！"""
text201#0,"""通常攻撃を行え！"""
text202#0,"""通常攻撃を行え！"""
text203#0,"""攻撃：<%NormalAttack>"""
text204#0,"""攻撃：<%NormalAttack>"""
11_voice_navi02_105#0,"""學得很快呢，真是太好了。<br>接下來的課程是<br>3段式連續攻擊。"""
11_voice_navi02_106#0,"""準備好，抓住時機，<br>試著發動3段式攻擊吧。"""
text00#1,"""關於『連續攻擊』"""
text01#1,"""教學<br>說明關於『連續攻擊』。<br><br>連按<%NormalAttack>即可<br>連續發動攻擊。"""
text02#0,"""教學<br>說明關於『連續攻擊』。<br><br>連按<%NormalAttack>即可<br>連續發動攻擊。"""
text100#1,"""以<%NormalAttack>使出3段式攻擊！"""
text1000#1,"""以<%NormalAttack>使出3段式攻擊！"""
11_voice_navi02_103#1,"""好，看來已充分熱身了。<br>那麼接下來說明<br>攻擊方法的教學。"""
11_voice_navi02_104#1,"""來，實際操作武器看看。"""
text00#2,"""ブレイバーの『攻撃方法』『チャージショット』について"""
text01#2,"""チュートリアル<br>ブレイバーの『攻撃方法』について、説明します。<br><br><c 00ffff>ブレイバーは近接攻撃用のカタナと<br>遠隔攻撃に長けたバレットボウの両方を<br>使いこなせる遠近対応の戦闘タイプです<c><br><br>射撃武器「バレットボウ」を使った訓練を開始します。"""
text02#1,"""教學<br>說明關於『連續攻擊』。<br><br>連按<%NormalAttack>即可<br>連續發動攻擊。"""
text03#0,"""教學<br>說明關於『連續攻擊』。<br><br>連按<%NormalAttack>即可<br>連續發動攻擊。"""
text04#0,"""說明關於『蓄力射擊』。<br><br>長按<%NormalAttack>後再放開，<br>便可發動蓄力射擊。<br><br>使出普通攻擊的蓄力攻擊<br>可以較行威力更高的攻擊。"""
text05#0,"""說明關於『蓄力射擊』。<br><br>長按<%NormalAttack>後再放開，<br>便可發動蓄力射擊。<br><br>使出普通攻擊的蓄力攻擊<br>可以較行威力更高的攻擊。"""
text100#2,"""以<%NormalAttack>進行普通攻擊！"""
text1000#2,"""以<%NormalAttack>進行普通攻擊！"""
