un_013200_0001#0,"""A.P.238/4/8"""
un_013200_0010#0,"""唉呀，你好。"""
un_013200_0020#0,"""之前提過的那個戰技大會，<br>據說將要開辦了。"""
un_013200_0030#0,"""你有沒有興趣？<br>想不想參加？"""
un_013200_0040#0,"""......呵，其實都不打緊。<br>反正與我無關。"""
un_013200_0050#0,"""啊，不過呢，那個，<br>聽說一個人沒辦法參賽呢。"""
un_013200_0060#0,"""規定事項中寫著<br>應邀請一名組隊對象<br>報名參加。"""
un_013200_0070#0,"""......像你這般實力，<br>應該不少人邀請，<br>而且主動相邀的話任誰都會來吧。"""
un_013200_0080#0,"""呵，反正這和人家無關。<br>既然一個人沒辦法參加的話，<br>那就沒辦法咯。"""
un_013200_0090#0,"""......你、你怎麼這副表情啦。<br>都說了反正<br>怎樣都可以了嘛。"""
un_013200_0100#0,"""不過，如果你真的孤單一個人<br>又怕寂寞的話，<br>我幫你一把也不是不行啦。"""
