name01#0,"""Astalte"""
text01#0,"""Complete แล้ว<br>ยินดีด้วยที่ท่านผ่านทุกภารกิจได้อย่างราบรื่น"""
text02#0,"""ตอนนี้ StampCard ของท่าน <br>ได้รับการประทับตราครบทุกแผ่นแล้ว"""
text03#0,"""ถ้าหากมีภารกิจใหม่เข้ามาเมื่อไหร่<br>จะทำการแจ้งให้ทราบอีกครั้งนะ"""
text04#0,"""จนกว่าจะถึงตอนนั้น<br>ขอให้ท่านใช้ความรู้ที่มี<br>ปฏิบัติภารกิจให้สมกับที่ได้เป็นสมาชิก ARKS นะ"""
text05#0,"""และนี่คือของรางวัลตอบแทน<br>เชิญรับไปได้เลยนะ"""
name01#1,"""アスタルテ"""
text01#1,"""これで、コンプリートです。<br>順調に進行しているようで<br>なによりです。"""
text02#1,"""現状お渡しできるスタンプカードは<br>これで全てとなっています。"""
text03#1,"""新規のものが用意されましたら<br>改めてお声がけさせていただきます。"""
text04#1,"""それまでの間は<br>これまで得た知識を活かした<br>アークスとしての活動に期待します。"""
text05#1,"""それでは、今回の報酬は<br>こちらとなります。<br>どうぞお受け取り下さい。"""
