name01#0,"""シエラ"""
text01#0,"""では、<red>ブレイブスタンス<c>について<br>説明します！"""
text02#0,"""ブレイブスタンスはエネミーの<br><red>前方から攻撃するとダメージが増加<c>する<br>スキルになります。"""
text03#0,"""それでは、ブレイブスタンスを発動して<br>エネミーを正面から倒してみましょう。"""
text101#0,"""課題４：<yellow>ブレイブスタンスで敵を倒す"""
train_title#0,"""課題４：<yellow>ブレイブスタンスで敵を倒す"""
tut_title#0,"""『ブレイブスタンス』について"""
text100#0,"""・サブパレットからブレイブスタンスを発動<br>・エネミーを正面から攻撃して倒す"""
text100_3b#0,"""・サブパレットからブレイブスタンスを発動<br>・エネミーを正面から攻撃して倒す"""
tut_win_title#0,"""『ブレイブスタンス』について"""
tut_win_text100#0,"""ブレイブスタンスを発動すると<br>エネミーの正面から与えるダメージが<br>増加します。<br><br>背面から攻撃した場合は与えるダメージが<br>減少します。"""
