ra_010510_0010#0,"""ท่าน <%me><br>เมื่อวันก่อนต้องขอขอบคุณมากเลยนะครับ"""
ra_010510_0020#0,"""มีคำฝากบอกมาจากท่านอาจารย์ด้วยนะครับ<br>ว่าขอบใจมากสำหรับข้อมูลอันมีค่า<br>และขอโทษด้วยที่ไม่ได้มาบอกด้วยตัวเอง"""
ra_010510_0030#0,"""เกี่ยวกับท่านอาจารย์น่ะครับ......<br>คือพอเค้าได้รับข้อมูลไป<br>เค้าก็ไปหมกตัวอยู่ในห้องวิจัยทันที"""
ra_010510_0040#0,"""และถ้าเป็นแบบนั้น ไปแงะตัวยังไงก็ไม่ขยับครับ<br>จนกว่าท่านอาจารย์จะเข้ามาหาผมเอง<br>ผมก็ได้แต่รอเท่านั้นล่ะครับ...... ฮะฮะฮะ......"""
ra_010510_0050#0,"""ละ แล้วก็อีกเรื่องนะครับ......<br>ไม่แน่ว่าเค้าอาจจะจู่ๆ<br>ติดต่อมาหาท่าน <%me> ก็ได้ครับ"""
ra_010510_0060#0,"""เพราะดูเหมือนว่า<br>ท่านจะไปเข้าตาเค้าเข้าซะแล้ว"""
ra_010510_0070#0,"""จะเรียกว่าดวงกุดหรืออะไรก็แล้วแต่......<br>......ยังไงก็พยายามเข้านะครับ!"""
ra_010510_0080#0,"""A.P.238/3/11"""
ra_010510_0010#1,"""<%me>さん。<br>先日はどうもありがとうございました。"""
ra_010510_0020#1,"""先生からも言葉を預かっています。<br>貴重なデータの収集に感謝する。<br>直接言えなくて申し訳ない、と。"""
ra_010510_0030#1,"""その先生なのですが……<br>報告を受け取るやいなや<br>研究室にこもりっきりで……"""
ra_010510_0040#1,"""ああなると、テコでも動かないので<br>先生から何かアプローチがあるまで<br>僕、待ちぼうけです……あはは……"""
ra_010510_0050#1,"""あ、あとですね……<br><%me>さんに<br>急にご連絡が行くかもしれません。"""
ra_010510_0060#1,"""なんといっても<br>目を付けられちゃいましたからね。"""
ra_010510_0070#1,"""運のつきというか、なんというか……<br>……がんばりましょう！"""
ra_010510_0080#1,"""A.P.238/3/11"""
