a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""T:氷上のメリークリスマス2020"""
Explanation#0,"""本任務は、クリスマス会場をＶＲ空間にて<br>再現し、士気向上を目的とした訓練です！<br>クリスマスプレゼントというわけでは<br>ありませんが、便利な支援兵器や支援効果を<br>ご用意しています。うまく活用して<br>たくさんのエネミーを、どんどん撃破して<br>くださいね！<br>――――――――――――――――――――<br>最後に登場するエネミーの撃破でクリア<br>制限時間経過でクエスト終了"""
NpcComMsg1#0,"""これより、ＶＲ訓練を開始します！<br>次々と出現するエネミーを<br>素早く撃破して行きましょう！"""
NpcComMsg2#0,"""訓練は、全３ウェーブで構成。<br>また、各ウェーブが始まる時に<br>私から課題を提示します。"""
NpcComMsg3#0,"""提示された目標に沿って戦うと<br>有利に戦うことができますよ。<br>それでは、健闘を祈ります！"""
SimpleExplanation#0,"""全てのエネミーを撃破せよ！"""
Area0S#0,"""凍土エリア1"""
Area0L#0,"""惑星ナベリウス 凍土エリア1"""
Area1S#0,"""凍土エリア2"""
Area1L#0,"""惑星ナベリウス 凍土エリア2"""
