linewindow#0,"""ไอเทมที่ไม่สามารถถือได้"""
text00#0,"""ไอเทมที่ไม่สามารถถือได้"""
text01#0,"""บางครั้งท่านจะได้รับไอเทมทันทีเช่นเมื่อทำ Emergency Trial เสร็จสิ้น<br><br>ถ้ามีจำนวนไอเทมสุงสุดหรือช่องเก็บของเต็มแล้ว <br>ไอเทมที่ไม่สามารถถือได้จะเข้าไปยัง Storehouse ทันที"""
11_voice_NPC_5021_100#0,"""เยี่ยมมาก สมแล้วที่เป็น ARKS ยอดเยี่ยม <br>ได้จับคู่กับคนอย่างท่านนี่ดีจริงๆ"""
text102#0,"""ท่านสามารถถือไอเทมได้มากมาย <br>แต่ถ้าท่านใช้ Storehouse บ้าง<br>ท่านก็คงไม่ถูกกองขยะทับตายแน่นอน"""
text103#0,"""Storehouse โดยปกติแล้วเก็บของได้ 200 ชิ้น <br>และจะเก็บได้มากขึ้นถ้าท่านขยายมันเพิ่ม"""
text104#0,"""คงเข้าใจดีนะว่า Storehouse ของข้านั้น...... """
linewindow#1,"""<br>『持ちきれないアイテム』について<br>"""
text00#1,"""『持ちきれないアイテム』について"""
text01#1,"""エマージェンシートライアルに成功する等<br>自動でアイテムをもらうことがあります。<br><br>その時、アイテムごとの所持数を超えたり<br>アイテムパックがいっぱいだったりすると<br>持ちきれないので自動的に倉庫へ送られます。"""
11_voice_NPC_5021_100#1,"""うむ、よろしい！<br>やはり君は優秀なアークスだな。<br>杞憂で済んでよかった。"""
text102#1,"""所持できる物品の数は限られる！<br>しかし度々倉庫を利用し<br>整理していれば問題はない！"""
text103#1,"""未拡張のアイテム倉庫では<br>２００個が関の山だが……拡張すれば<br>さらに使い勝手も良くなるぞ！"""
text104#1,"""いいか、私の利用する倉庫は……"""
