Achievements_Fullsize_Title#0,"""稱號"""
Achievements_Form_Title#0,"""稱號委託一覽"""
Achievements_Filter_Accomplished#0,"""已達成"""
Achievements_Filter_InProgress#0,"""未達成"""
Achievements_Filter_All#0,"""全部稱號"""
Achievements_Sort_Normal#0,"""默認排序"""
Achievements_Sort_Get#0,"""依獲得順序排序"""
Achievements_Point_Title#0,"""累計稱號點數"""
Achievements_Point#0,"""$(0) pt"""
Achievements_Total_Title#0,"""獲得称号数"""
Achievements_Total#0,"""$(0) 個"""
Achievements_Unknown#0,"""??????"""
Achievements_Progress_Title#0,"""進行度"""
Achievements_Progress#0,"""$(0)/$(0)"""
Achievements_Button_Back#0,"""返回"""
Achievements_Empty_List#0,"""沒有指定的稱號。"""
Achievements_Please_Wait#0,"""請稍候。"""
Achievements_Details_Title#0,"""「$(0)」的詳情"""
Achievements_Details_RewardCheck1#0,"""按下<%Function>查看報酬詳情"""
Achievements_Details_RewardCheck2#0,"""按下<%Function>查看基本情報"""
Achievements_Details_Rewind_Condition#0,"""再次接受"""
Achievements_Details_Rewind_Condition_Account#0,"""帳號僅限1次"""
Achievements_Details_Rewind_Condition_Character#0,"""角色僅限1次"""
Achievements_Details_Overview#0,"""概要"""
Achievements_Details_Overview_Template#0,"""獲得該稱號後，可在ARK名片中使用<br><br>“$(0)”。"""
Achievements_Details_Reward#0,"""報酬"""
Achievements_Details_NoReward#0,"""沒有報酬道具。"""
Achievements_Basic_Info#0,"""基本情報"""
Achievements_Reward_Info#0,"""報酬情報"""
Achievements_Operation_Info#0,"""按←→切換項目"""
Achievements_Details_Unselected#0,"""未選擇稱號委託"""
Achievements_Detial_Tilte_Unselected#0,"""稱號委託詳情"""
Achievements_Detial_ItemName#0,"""稱號名“$(0)”"""
Achievements_Reward_Quantity_Num#0,"""×$(0)"""
