text01#0,"""…………"""
text02#0,"""……交渉は隣の男に任せている。<br>こいつから話を聞け。"""
text01#1,"""……フム。<br>お前を見ていると、ヤツを思い出す。<br>同じような目をしているからか……"""
text02#1,"""ヤツは、自分も初心者の分際で<br>足手まといのアッシュを助けていた……<br>ククク……"""
text03#0,"""美味くなる見込みはある。<br>ヤツの魂が育つまで、オレも<br>まだ死ぬことは出来んな……"""
text01#2,"""オレは、パイオニア１で先行した<br>ある男を……“獲物”を追って<br>パイオニア２でラグオルに来た。"""
text02#2,"""だが、オレの到着を待つことなく<br>その男は屍となり……<br>オレは目的を失った。"""
text03#1,"""もう、ここには何もない……そう思って<br>いたが、ヤツが、そしてお前が現れた。<br>ククク……満足させてくれそうだ……"""
text01#3,"""……どうした？<br>敵に攻撃が当たらんか？"""
text02#3,"""そうか。なら……オレの知る基本の<br>技術を教えてやる。少し長くなる……<br>足を止めて、聞くんだな。"""
text03#2,"""力をためての攻撃は<br>威力が高いが、かわされやすい。<br>しかも……なに、攻撃は必ず当たる！？"""
text04#0,"""ククク、バカなことを……<br>この世界には攻撃時のミスが存在しない<br>とでも、言うつもりか……？"""
text01#4,"""お前、ラグオルに来る気はないか？<br>ヤツとお前がそろえば、さぞ美味い<br>魂の宴となるだろう……ククク。"""
text02#4,"""……ここを守りたい、か。やはりな。<br>その意志、生き様を貫くことで<br>魂がより美味く育つことになるだろう。"""
text03#3,"""いつかその魂、オレが食らってやる。<br>それまで生きていることだ。<br>……互いに、な。"""
text04#1,"""……オレは＜黒い猟犬＞。<br>狙ったターゲットは必ず仕留める。<br>クハッ……クハハハハ！"""
