11_voice_NPC_5050_101#0,"""โอเค ข้าได้รายงานของท่านแล้ว <br>ท่านผ่านเงื่อนไขและผ่านการทดสอบ"""
text02#0,"""ข้าอนุญาติให้ท่านเลือก<br>Sub-class ได้ <%me>"""
text03#0,"""ข้าขอแนะนำ<br>Sub-classes จะเป็นทางเลือกให้ท่านในการต่อสู้"""
text04#0,"""อย่างไรก็ดี นั่นหมายถึงท่านสามารถใช้ได้ <br>แต่ไม่ได้หมายถึงท่านจะแข็งแกร่งขึ้น"""
text05#0,"""อย่างไรก็ดี คนอย่างท่านมีแค่คนเดียว <br>เราไม่อยากให้ท่านพลาดท่าไป"""
text100#0,"""เกี่ยวกับ Sub-class"""
text101#0,"""เมื่อท่านตั้ง Sub-class จะสามารถใช้ความสามารถบางอย่างพร้อมกับ Class หลักได้<br>ในการตั้ง Sub-class เลือก<br>\""สลับ Class\"" แล้ว \""เลือก Sub-class\"" ที่ Class Counter"""
text102#0,"""Hunters ที่เลือก Wizard เป็น Sub-class สามารถใช้<br>Foie จาก Sub-palette และจะได้รับประโยชน์จาก Skill Boost PP"""
text103#0,"""อย่างไรก็ดี อาวุธที่สวมใส่, Alt actions, และ<br>Evasive actions ของตัวละครหลักจะไม่เปลี่ยนไป<br>เช่น Hunters ที่เลือก Wizard เป็น Sub-class จะไม่สามารถใส่ Rods หรือใช้ Mirage Escape ได้"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>所定の条件を完了、試練達成です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>サブクラス使用制限を解除します。"""
text03#1,"""……さて、ここからは私の言葉。<br>サブクラスも使えるようになり<br>戦いの幅が広がると思います。"""
text04#1,"""ですが、決して油断はなきよう。<br>出来ることが増えただけで<br>強くなったわけではないのです。"""
text05#1,"""忘れないでください。<br>その身は一つ、ですからね。"""
text100#1,"""『サブクラス』について"""
text101#1,"""サブクラスについて説明します。<br><br>サブクラスを設定すると、メインクラスを基本として<br>サブクラスの能力が使えます。<br>また、サブクラスにも一部経験値が入ります。<br><br>サブクラスの設定はクラスカウンターの「クラス変更」から<br>「サブクラス選択」を選ぶことで行えます。"""
text102#1,"""ハンターがサブクラスにフォースを指定すると<br>サブパレットに設定したフォイエを放ったり、<br>スキル「ＰＰアップ」の効果を受けたりすることができます。"""
text103#1,"""ただし、装備可能な武器や補助アクション、回避アクションなどは<br>メインクラスのものが適用されます。<br><br>メインクラスがハンターの場合、サブクラスにフォースを設定しても<br>ロッドは装備できず、ミラージュエスケープも使用できないので<br>ご注意ください。"""
