Title#0,"""Rampaging Dragon's Resentment"""
Explanation#0,"""เราพบต้นกำเนิดของมังกรคลั่งซึ่ง<br>เข้าโจมตีพวกเราจากทุกทิศทุกทางแล้ว<br>มันอยู่ที่ Skyscape บน Amduskia<br>ขอให้ ARKS ทุกคนออกปฏิบัติการทันที<br>แล้วทำการตรวจสอบพร้อมกับขับไล่มังกรคลั่งไปซะ<br>อีกทั้งยังได้รับการยืนยันว่ามีตัวตนของ <br>D-arker ในพื้นทีโปรดดำเนินการอย่างระวังด้วย<br>------------------------------------<br>เงื่อนไขความล้มเหลว / แพ้ในการต่อสู้สุดท้าย <br>หรือ ไม่สามารถบรรลุภารกิจภายในเวลา"""
Title#1,"""暴走龍の怨嗟"""
Explanation#1,"""アークス各員に緊急任務の通達。<br>神出鬼没に出現し、見境無しに<br>襲ってくる暴走龍の停滞先が判明した。<br>場所は惑星アムドゥスキアの浮遊大陸。<br>アークス各員は至急出撃し、かの暴走龍の<br>調査および撃退を行え。<br>なお、現地では多くのダーカー反応が<br>確認されている。注意して任務にあたれ。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北、制限時間の経過"""
SimpleExplanation#0,"""เข้าไปให้ถึงส่วนที่ลึกที่สุด !"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
