un_020340_0010#0,"""แฮ่ก......แฮ่ก......<br>อ๊ะ..... <%me><br>รอ..... รอแป๊ปนึงนะ......"""
un_020340_0020#0,"""......เฮ้อ อ๊ะ ขอโทษนะ<br>แหม เป็น Hunter นี่เหนื่อยจริงๆ เลยเนอะ"""
un_020340_0030#0,"""ชั้นมองดู Zeno มาตลอด<br>ก็เลยคิดว่าตัวเองเข้าใจอยู่บ้าง<br>พูดตรงๆ ไม่นึกว่าจะขนาดนี้เลย"""
un_020340_0040#0,"""ระดับความตื่นเต้นก็มาก ยิ่งกว่านั้น<br>ยังน่ากลัว...... ตอนเป็น Wizard เอง<br>ก็น่ากลัวอยู่ แต่เทียบกับนี่ไม่ได้เลย"""
un_020340_0050#0,"""เฮ้อ..... ไม่ใช่แค่ Zeno <br>แต่ Class ที่โจมตีระยะใกล้<br>ทุกคนต่างก็ต่อสู้แบบนี้สินะ"""
un_020340_0060#0,"""ทั้งที่ต้องต่อสู้แบบนี้<br>แต่ก็ยังยิ้มหัวเราะขนาดนั้นได้<br>......สุดยอดไปเลยน๊า"""
un_020340_0070#0,""".....ไม่ใช่สิ นี่ไม่ใช่เวลาจะมาชื่นชมซะหน่อย!<br>ชั้นเองก็ต้องพยายามด้วยเหมือนกัน!"""
un_020340_0080#0,"""เอาล่ะ ไว้เจอกันนะ!"""
un_020340_0010#1,"""はっ……はあっ……<br>あ……<%me><br>ちょっ、ちょっと待ってね……"""
un_020340_0020#1,"""……ふぅ。あ、ごめんね。<br>いやあ、ハンターって疲れるわね。"""
un_020340_0030#1,"""ずっとゼノを見てて、なんとなく<br>理解してるつもりだったんだけど<br>正直、ここまでとは思わなかった。"""
un_020340_0040#1,"""緊張感がすごいし、何より怖い……<br>フォースも怖かったけど<br>怖さの質が、全然違う。"""
un_020340_0050#1,"""はー……ゼノだけじゃなくて<br>近接クラスのみんなって、いつも<br>こういう戦いをしてたんだ。"""
un_020340_0060#1,"""こういう戦いをしながら<br>それでも笑っていられたんだね。<br>……すごいなぁ。"""
un_020340_0070#1,"""……って、感心してる場合じゃない！<br>あたしも頑張らないと！"""
un_020340_0080#1,"""それじゃ、またね！"""
