un_045020_0010#0,"""……哈哈哈哈！<br>有我們兩個當對手，你居然都能撐住！"""
un_045020_0020#0,"""你這傢伙還挺厲害啊！<br>你走到這一步，究竟付出了多少努力？"""
un_045020_0030#0,"""呵呵，得您誇獎我深感光榮。<br>說我這份力量是憑著努力而得到的人<br>也就只有你一個了。"""
un_045020_0040#0,"""雖說我真的很想<br>將這愉快的戰鬥繼續下去……<br>但不巧，我突然有些事務要處理。"""
un_045020_0050#0,"""那就後會有期吧。<br>我很期待能換個場合繼續這場戰鬥。<br>……先行告退。"""
un_045020_0060#0,"""……呼！<br>哎呀，<%me><br>你沒事吧？"""
un_045020_0070#0,"""我本來是打算來這兒找一找強力的幻創種的<br>可沒想到，竟碰見了比它還要厲害的傢伙。"""
un_045020_0080#0,"""就連剛才那場戰鬥，她好像都沒有使出全力。<br>……說實話，簡直是深不可測。"""
un_045020_0090#0,"""哎，這世界真是廣闊啊！<br>知道了我這火候還遠遠不夠，我還挺開心的！<br>這鍛煉還是有價值的嘛！"""
un_045020_0100#0,"""……好了，那我們也回去吧！"""
skit01#0,"""TEST"""
skit02#0,"""仮"""
