linewindow#0,"""ARKS Ship Facilities"""
text00#0,"""ARKS Ship Facilities"""
text01#0,"""จะอธิบายเรื่องเกี่ยวกับ ARKS Ship<br><br>นี่คือ Gate Area ของ ARKS Ship<br><br>ท่านสามารถลงทะเบียนเควสได้ที่ Quest Counter<br>หรือเพิ่มความสามารถของตัวละครได้ที่ Medical Center"""
text02#0,"""ในการรับเควส คุยกับตัวละครที่อยู่ที่ Quest Counter<br>และเลือกเควสที่ท่านต้องการ<br><br>Quest Counters มีอยู่สองที่ แต่ทั้งสองที่นั่นไม่มีความแตกต่างใดๆ"""
text03#0,"""ท่านสามารถใช้ Teleporter เพื่อไปยัง Shop Area<br><br>ใน Shop Area ท่านสามารถซื้ออาวุธหรือ Armor Units<br>หรือเปล่ารูปร่างของตัวละครของท่านที่ Salon<br><br>มันเป็นที่ๆเหมาะสมที่จะได้พูดคุยกับผู้เล่นอื่นด้วย<br>ลองไปเดินเล่นที่นั่นดูซิ"""
linewindow101#0,"""การเชื่อมต่อกับ [PHANTASY STAR ONLINE 2 es]"""
text100#0,"""การเชื่อมต่อกับ [PHANTASY STAR ONLINE 2 es]"""
text101#0,"""ข้อมูลของตัวละครบน [Phantasy Star Online 2] ที่ผู้เล่น<br>สามารถเชื่อมต่อกับ [Phantasy Star Online 2 es] มีดังต่อไปนี้<br><br><yellow>- ค่าประสบการณ์ส่วนหนึ่งที่สะสมได้บน [PSO2es]<br> - Meseta<br> - Item ในช่องเก็บของ<br>    - อาวุธ/เครื่องป้องกัน/ Costume / Parts และอื่นๆ <br> - สภาพวิวัฒนาการของ MAG<c><br><br>สามารถหาอ่านรายละเอียดเพิ่มเติมได้ที่ Online Manual ตามลิงค์ด้านล่าง<br><&URL pso2es_players_linkage><br>เมื่อกด [ตกลง] ระบบจะทำการเปิดเบราเซอร์ของท่านให้โดยอัตโนมัติ"""
linewindow#1,"""<br>『アークスシップの施設』について<br>"""
text00#1,"""『アークスシップの施設』について"""
text01#1,"""アークスシップの施設について説明します。<br><br>ここはアークスシップのゲートエリアです。<br><br>クエストカウンターでクエストを受注したり<br>メディカルセンターでキャラクターの能力を向上させたり<br>することができます。"""
text02#1,"""クエストを受注する場合は<br>クエストカウンターに立つキャラクターに話しかけ<br>受注したいクエストを選択してください。<br><br>クエストカウンターは２か所ありますが、<br>どちらも違いはありません。"""
text03#1,"""テレポーターを使うとショップエリアへ行くことができます。<br><br>ショップエリアでは、武器やユニットを購入したり<br>エステでキャラクターの外見を変えたりすることができます。<br><br>また、他のプレイヤーとくつろいだりする憩いの場です。<br>いろいろ散策してみましょう。"""
linewindow101#1,"""<br>『ファンタシースターオンライン2 es』との連動について<br>"""
text100#1,"""『ファンタシースターオンライン2 es』との連動について"""
text101#1,"""『ファンタシースターオンライン2』と<br>『ファンタシースターオンライン2 es』 (以下『PSO2es』)<br>の間で連動したキャラクターは以下の要素を連動します。<br><br>\u3000<yellow>・『PSO2es』で入手した経験値の一部を加算<br>\u3000・所持メセタの共有<br>\u3000・アイテムパックの共有<br>\u3000\u3000・武器/ユニット/コスチューム/パーツ\u3000など<br>\u3000・マグ育成状況の共有<c><br><br>詳しくは『PSO2es』のオンラインマニュアルをご確認ください。<br>以下のURLをクリック（決定）すると、<br>ブラウザーで開きます。<br><&URL pso2es_players_linkage>"""
