name01#0,"""Echo"""
name01#1,"""エコー"""
text00#0,"""ขอบใจมาก !<br>อื้ม ของดีเลยนะเนี่ย"""
text01#0,"""เอ๊ะ เสร็จแล้วเหรอ ?<br>โอเค ได้ตามที่บอกเป๊ะ<br>ขอบใจมากนะ"""
text02#0,"""ขอบใจที่ช่วยทำให้นะ<br>ออกมาดีเลยล่ะ !<br>ไว้จะไปกวนใหม่นะ !"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""どうもありがとう！<br>うん、上出来だよ。"""
text01#1,"""あ、出来た？<br>大丈夫、依頼通りだよ。<br>ありがとね！"""
text02#1,"""協力してくれて、ありがとね。<br>良くできてると思う！<br>またよろしくね！"""
text03#1,"""ありがとう03"""
text00#2,"""ว้าว ขอบคุณมาก !<br>สุดยอดไปเลยไอ้เนี่ย !<br>ถ้าไม่ว่าอะไร ไว้จะไปขอให้ช่วยอีกนะ"""
text01#2,"""อื้ม ยอดเยี่ยมไปเลย !<br>รู้สึกจะหรูกว่าที่ขออีกนะ<br>ขอบคุณมากจริงๆ"""
text02#2,"""โอ้โห ทำออกมาดีมากๆเลยนะเนี่ย !<br>ขอบคุณนะ<br>คิดถูกจริงๆที่ขอร้องเธอ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""うわー、ありがとう！<br>すごいよ、これ！<br>よかったら、またお願いね。"""
text01#3,"""うん、いい出来だよ！<br>むしろ依頼以上って感じかな。<br>本当、ありがとう。"""
text02#3,"""うわーいい出来だね、これ！<br>ありがとうね。<br>きみに頼んで良かったよ。"""
text03#3,"""本当にありがとう03"""
