name_7446#0,"""ソウヤ"""
ssn_015311_0010#0,"""うむ、助かる。"""
ssn_015311_0020#0,"""キミに手伝ってもらいたいことというのは、<br>物資を現地調達するための調査だ。"""
ssn_015311_0030#0,"""俺たちは、セントラルシティから定期的に補給を受けているが、<br>それだけでは全部隊の要求を充足できていない。"""
ssn_015311_0040#0,"""スティア中から、使えそうなものをかき集めて、<br>不足を補っている状態だ。"""
ssn_015311_0050#0,"""そこで、俺が注目しているのが、<br>認識阻害処理をされた“謎の箱”の噂だ。"""
ssn_015311_0060#0,"""この北のドライゼンプラントで目撃情報があり、<br>“インビジブルボックス”と呼ばれている。"""
ssn_015311_0070#0,"""詳しい仕組みや、出現条件は不明だが、<br>中にはよいものが入っていることがある。"""
ssn_015311_0080#0,"""これをキミに、<br>探してきてもらいたいのだ。"""
ssn_015311_0090#0,"""インビジブルボックスに関する情報が増えれば、<br>物資不足が解消できるかもしれない。"""
ssn_015311_0100#0,"""マグのソナーの反応が、手がかりになるはずだ。<br>よろしく頼んだぞ。"""
ssn_015311_0110#0,"""ああ、そうそう。<br>今回の調査対象は、あくまで“箱”そのものだ。"""
ssn_015311_0120#0,"""キミが発見したものを、よこせというわけではない。<br>安心してくれ。"""
