un_012460_0010#0,"""คุณ <%me><br>เราเจอกันอีกแล้วนะครับ"""
un_012460_0020#0,"""ผลงานของคุณมันลอยเข้ามา<br>ถึงหูผมแล้วล่ะครับ"""
un_012460_0030#0,"""พวกเราอยู่ในโลกที่ทักษะและผลลัพท์<br>คือทุกสิ่ง ผู้ที่มีทั้งคู่มีแนวโน้ม<br>ว่าจะโดดเด่นเหนือใคร"""
un_012460_0040#0,"""......เกียรติยศคือทั้งหมด <br>แต่ก็มีแนวโน้มที่จะมีปัญหา<br>ไปพร้อมกับมัน"""
un_012460_0050#0,"""ระวังตัวด้วยนะครับ<br>ผู้ที่วิ่งนำหน้าอาจไม่มีคนรัก<br>เท่ากับผู้ที่ถูกทิ้งไว้ข้างหลัง"""
un_012460_0060#0,"""เพราะมีทั้งผู้ที่หวังให้คุณ<br>ไม่ได้รับการสรรเสริญ<br>และผู้ที่ไม่อยากให้คุณล้มเหลว"""
un_012460_0070#0,"""ผมพูดจากประสบการณ์ <br>การแต่งตั้ง Six Pillars<br>ถือเป็นเหตุการณ์ที่โหดร้าย"""
un_012460_0080#0,"""นี่เป็นคำแนะนำจากคนที่แก่กว่าครับ<br>ผมคาดหวังในเรื่องนี้เท่านั้นแหละ<br>พยายามเข้านะครับ"""
un_012460_0010#1,"""<%me>さん。<br>こんにちは、またお会いしましたね。"""
un_012460_0020#1,"""貴方のご活躍はいたるところで<br>耳にしていますよ。"""
un_012460_0030#1,"""実力と行動力が全ての世界ですからね。<br>できる人間はどうしたって<br>名が広まっていきます。"""
un_012460_0040#1,"""……有名になること。<br>それは、いいことでもありますが<br>同時に悪いことも呼び寄せます。"""
un_012460_0050#1,"""気をつけてくださいね。<br>出る杭は打たれるものです。"""
un_012460_0060#1,"""貴方が褒め称えられるその裏で<br>貴方を貶めようとする輩が<br>いないとも限りませんよ。"""
un_012460_0070#1,"""かくいう私も、六芒均衡に<br>抜擢された直後はいろいろと<br>絡まれたものです。"""
un_012460_0080#1,"""これは、老婆心からの助言ですよ。<br>それだけ、期待もしています。<br>頑張ってくださいね。"""
