Gat_TitleStatus#0,"""ギャザリングステータス"""
Gat_TitleAbleList#0,"""達成可能ギャザリング実績"""
ResultNum#0,"""$(0)/$(1)"""
ResultNum_2#0,"""$(0)/"""
ResultNumTitle#0,"""<yellow>達成回数：$(0)/$(1)<c>"""
RewardNum#0,"""$(0)×$(1)"""
FeverTime_Add#0,"""+$(0)秒"""
C_Level#0,"""採取レベル"""
F_Level#0,"""釣りレベル"""
NextLevel#0,"""次のレベルまで$(0)実績"""
Percent#0,"""$(0)%"""
Percent2#0,"""+$(0).$(1)%"""
ComboBonus#0,"""$(0)～$(1)"""
NumAchieve#0,"""$(0)実績"""
Time_3#0,"""$(0)時間$(1)分"""
Time_2#0,"""$(0)分"""
Time_2Add#0,"""($(0)で$(1)回復)"""
Time_3Add#0,"""$(0)"""
No_Achievable#0,"""達成可能な実績がありません"""
NoItemMsg#0,"""実績がありません。"""
RareF_Rate#0,"""レア釣り率アップ $(0).$(1)%"""
RareC_Rate#0,"""レア採取率アップ $(0).$(1)%"""
AddF_Rate#0,"""追加釣り率アップ $(0).$(1)%"""
AddC_Rate#0,"""追加採取率アップ $(0).$(1)%"""
Name_C0000#0,"""採取経験1"""
Name_C0001#0,"""採取経験2"""
Name_C0002#0,"""採取経験3"""
Name_C0003#0,"""採取経験4"""
Name_C0004#0,"""採取経験5"""
Name_C0005#0,"""採取経験6"""
Name_C0006#0,"""追加採取経験1"""
Name_C0007#0,"""追加採取経験2"""
Name_C0008#0,"""追加採取経験3"""
Name_C0009#0,"""追加採取経験4"""
Name_C0010#0,"""レア採取経験1"""
Name_C0011#0,"""レア採取経験2"""
Name_C0012#0,"""レア採取経験3"""
Name_C0013#0,"""レア採取経験4"""
Name_C0014#0,"""野菜採取経験1"""
Name_C0015#0,"""果実採取経験1"""
Name_C0016#0,"""穀物採取経験1"""
Name_C0017#0,"""鉱石採取経験1"""
Name_C0018#0,"""採取経験7"""
Name_C0019#0,"""採取経験8"""
Name_C0020#0,"""採取経験9"""
Name_C0021#0,"""採取経験10"""
Name_C0022#0,"""採取経験11"""
Name_C0023#0,"""追加採取経験5"""
Name_C0024#0,"""追加採取経験6"""
Name_C0025#0,"""追加採取経験7"""
Name_C0026#0,"""追加採取経験8"""
Name_C0027#0,"""追加採取経験9"""
Name_C0028#0,"""レア採取経験5"""
Name_C0029#0,"""レア採取経験6"""
Name_C0030#0,"""レア採取経験7"""
Name_C0031#0,"""レア採取経験8"""
Name_C0032#0,"""レア採取経験9"""
Name_C0033#0,"""野菜採取経験2"""
Name_C0034#0,"""果実採取経験2"""
Name_C0035#0,"""穀物採取経験2"""
Name_C0036#0,"""鉱石採取経験2"""
Name_C0037#0,"""宝石採取経験1"""
Name_C0038#0,"""森林採取経験1"""
Name_C0039#0,"""森林採取経験2"""
Name_C0040#0,"""森林採取経験3"""
Name_C0041#0,"""森林トマト採取経験1"""
Name_C0042#0,"""森林トマト採取経験2"""
Name_C0043#0,"""森林米採取経験1"""
Name_C0044#0,"""森林米採取経験2"""
Name_C0045#0,"""ナベルダケ採取経験1"""
Name_C0046#0,"""森林エメラルド採取経験1"""
Name_C0047#0,"""遺跡採取経験1"""
Name_C0048#0,"""遺跡採取経験2"""
Name_C0049#0,"""遺跡採取経験3"""
Name_C0050#0,"""遺跡ブドウ採取経験1"""
Name_C0051#0,"""遺跡ブドウ採取経験2"""
Name_C0052#0,"""遺跡タマネギ採取経験1"""
Name_C0053#0,"""遺跡タマネギ採取経験2"""
Name_C0054#0,"""ナベルダケ採取経験1"""
Name_C0055#0,"""遺跡アメジスト採取経験1"""
Name_C0056#0,"""海岸採取経験1"""
Name_C0057#0,"""海岸採取経験2"""
Name_C0058#0,"""海岸採取経験3"""
Name_C0059#0,"""海岸塩採取経験1"""
Name_C0060#0,"""海岸塩採取経験2"""
Name_C0061#0,"""海岸オリーブ採取経験1"""
Name_C0062#0,"""海岸オリーブ採取経験2"""
Name_C0063#0,"""ウォパルシェル採取経験1"""
Name_C0064#0,"""海岸サファイア採取経験1"""
Name_C0065#0,"""東京採取経験1"""
Name_C0066#0,"""東京採取経験2"""
Name_C0067#0,"""東京採取経験3"""
Name_C0068#0,"""東京大豆採取経験1"""
Name_C0069#0,"""東京大豆採取経験2"""
Name_C0070#0,"""アースロック採取経験1"""
Name_C0071#0,"""アースロック採取経験2"""
Name_C0072#0,"""アキビン採取経験１"""
Name_C0073#0,"""東京オパール採取経験1"""
Name_C0074#0,"""砂漠採取経験1"""
Name_C0075#0,"""砂漠採取経験2"""
Name_C0076#0,"""砂漠採取経験3"""
Name_C0077#0,"""砂漠サンショウ採取経験1"""
Name_C0078#0,"""砂漠サンショウ採取経験2"""
Name_C0079#0,"""砂漠マンゴー採取経験1"""
Name_C0080#0,"""砂漠マンゴー採取経験2"""
Name_C0081#0,"""リリーパチョッキ採取経験１"""
Name_C0082#0,"""砂漠トパーズ採取経験1"""
Name_C0083#0,"""採掘場跡採取経験1"""
Name_C0084#0,"""採掘場跡採取経験2"""
Name_C0085#0,"""採掘場跡採取経験3"""
Name_C0086#0,"""採掘場跡ジャガイモ採取経験1"""
Name_C0087#0,"""採掘場跡ジャガイモ採取経験2"""
Name_C0088#0,"""採掘場跡コショウ採取経験1"""
Name_C0089#0,"""採掘場跡コショウ採取経験2"""
Name_C0090#0,"""リリーパチョッキ採取経験１"""
Name_C0091#0,"""採掘場跡ラピスラズリ採取経験1"""
Name_C0092#0,"""浮上施設採取経験1"""
Name_C0093#0,"""浮上施設採取経験2"""
Name_C0094#0,"""浮上施設採取経験3"""
Name_C0095#0,"""浮上施設ミント採取経験1"""
Name_C0096#0,"""浮上施設ミント採取経験2"""
Name_C0097#0,"""浮上施設カブ採取経験1"""
Name_C0098#0,"""浮上施設カブ採取経験2"""
Name_C0099#0,"""ウォパルシェル採取経験１"""
Name_C0100#0,"""浮上施設トルマリン採取経験1"""
Name_C0101#0,"""ラスベガス採取経験1"""
Name_C0102#0,"""ラスベガス採取経験2"""
Name_C0103#0,"""ラスベガス採取経験3"""
Name_C0104#0,"""ラスベガスレタス採取経験1"""
Name_C0105#0,"""ラスベガスレタス採取経験2"""
Name_C0106#0,"""ラスベガスコーン採取経験1"""
Name_C0107#0,"""ラスベガスコーン採取経験2"""
Name_C0108#0,"""アキビン採取経験１"""
Name_C0109#0,"""ラスベガスダイヤ採取経験1"""
Name_C0110#0,"""火山洞窟採取経験1"""
Name_C0111#0,"""火山洞窟採取経験2"""
Name_C0112#0,"""火山洞窟採取経験3"""
