st_012110_0010#0,"""เขากำลังพูดอะไรอยู่"""
st_012110_0020#0,"""เขากำลังเรียกเธออยู่"""
st_012110_0030#0,"""เอ๊ะ......?"""
st_012110_0040#0,"""......อะไรเหรอ?<br>เธออยากจะบอกอะไรกับชั้นเหรอ Haddred?"""
st_012110_0050#0,"""...ขอฟังเพลงนั้น...อีกซักครั้ง"""
st_012110_0060#0,"""คำพูดที่ในที่สุดก็นึกออกมาได้...... คือนั่นเหรอ?"""
st_012110_0070#0,"""...บ้า เธอนี่บ้าที่สุดเลย"""
st_012110_0080#0,"""จริง ๆ ...... บ้าจริง ๆ ...... ฮึก!"""
st_012110_0090#0,"""ได้เลย ตามคำขอ!<br>แล้วก็ไม่ใช่แค่เพลงเดียว จะกี่เพลงชั้นก็จะร้องให้ฟังเอง!"""
st_012110_0100#0,"""ถึงคนดูจะมีแค่ <%me><br>กับ Haddred สองคน<br>แต่...แต่...แต่ถึงอย่างนั้น...!"""
st_012110_0110#0,"""เอาล่ะ Haddred!<br>คอยฟังให้ดีนะ!<br>ห้ามหลับล่ะ!"""
st_012110_0120#0,"""เพราะเพลงนี้... มีแค่เพลงนี้เท่านั้น<br>ที่ชั้นจะร้องให้เธอเพียงคนเดียว......!"""
st_012110_0130#0,"""A.P.238/4/23/14:30"""
st_012110_0010#1,"""何か喋っている"""
st_012110_0020#1,"""きみを呼んでいる"""
st_012110_0030#1,"""え……？"""
st_012110_0040#1,"""……何？<br>何を伝えたいの、ハドレッド？"""
st_012110_0050#1,"""……もう一度、あの歌を。"""
st_012110_0060#1,"""やっと、覚えた言葉が……それなの？"""
st_012110_0070#1,"""……ばか。ばかだよ、あんたは。"""
st_012110_0080#1,"""本当に……本当に……っ！"""
st_012110_0090#1,"""ああ、いいともさ！<br>一曲と言わず、いくらでも歌ってあげる！"""
st_012110_0100#1,"""観客は<%me><br>それにハドレッドの二人だけ！<br>だけど、だけど、だからこそっ……！"""
st_012110_0110#1,"""いい、ハドレッド！<br>きちんと聞いてなさい！<br>寝ちゃダメよ！"""
st_012110_0120#1,"""この歌は、この歌だけは<br>あなただけのために……！"""
st_012110_0130#1,"""A.P.238/4/23/14:30"""
skit01#0,"""Our Final Farewell"""
skit02#0,"""Chapter 10: Encore on the thin Space"""
skit01#1,"""Our Final Farewell"""
skit02#1,"""第１０章 虚空に奏でるアンコール"""
