text00#0,"""เกี่ยวกับ [Katana]"""
text01#0,"""Tutorial : อธิบายเกี่ยวกับ Katana<br><br>Samurai นั้น นอกจาก Bullet Bow แล้ว ยังสามารถ<br>สวมใส่ Katana ซึ่งเป็นอาวุธโจมตีระยะใกล้ได้อีกด้วย<br>Katana คืออาวุธที่ออกท่าได้รวดเร็ว <br>ทำให้สามารถโจมตีต่อเนื่องได้อย่างมีประสิทธิภาพ"""
text02#0,"""กด <%NormalAttack> เพื่อโจมตีธรรมดา<br><br>และเมื่อกด <%NormalAttack> ต่อเนื่องหรือกดค้าง<br>จะทำให้สามารถโจมตีต่อเนื่องได้ 3 ครั้ง"""
text03#0,"""กด <%NormalAttack> เพื่อโจมตีธรรมดา<br><br>และเมื่อกด <%NormalAttack> ต่อเนื่องหรือกดค้าง<br>จะทำให้สามารถโจมตีต่อเนื่องได้ 3 ครั้ง"""
text04#0,"""อธิบายเกี่ยวกับ [Weapon Action] ของ Katana<br><br>เมื่อกด <%WeaponAction><br>ตัวละครก็จะตั้งท่าป้องกัน<br>และนี่คือ [Guard] ซึ่งเป็น Weapon Action ของ Katana<br><br>หาก Guard การโจมตีของศัตรู<br>ก็จะสามารถลดดาเมจที่ได้รับลงได้<br><br>ทว่า จะไม่สามารถ Guard การโจมตีจากทางด้านอื่น<br>นอกจากทางด้านหน้าได้ ดังนั้นกรุณาระวังด้วย"""
text05#0,"""อธิบายเกี่ยวกับ [Weapon Action] ของ Katana<br><br>เมื่อกด <%WeaponAction><br>ตัวละครก็จะตั้งท่าป้องกัน<br>และนี่คือ [Guard] ซึ่งเป็น Weapon Action ของ Katana<br><br>หาก Guard การโจมตีของศัตรู<br>ก็จะสามารถลดดาเมจที่ได้รับลงได้<br><br>ทว่า จะไม่สามารถ Guard การโจมตีจากทางด้านอื่น<br>นอกจากทางด้านหน้าได้ ดังนั้นกรุณาระวังด้วย"""
text00#1,"""『カタナ』について"""
text01#1,"""チュートリアル<br>カタナについて、説明します。<br><br>ブレイバーはバレットボウの他に<br>近接武器のカタナを装備することができます。<br>カタナは素早い動きでの連続攻撃が可能な打撃武器です。"""
text02#1,"""<%NormalAttack>を押すことで、通常攻撃を行います。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を連続して行います。"""
text03#1,"""<%NormalAttack>を押すことで、通常攻撃を行います。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を連続して行います。"""
text04#1,"""カタナの武器アクションについて、説明します。<br><br><%WeaponAction>を押すと<br>キャラクターは防御の姿勢をとります。<br>これがカタナの武器アクション『ガード』です。<br><br>敵から攻撃をガードすることで、<br>ダメージを軽減することができます。<br><br>ただし、正面以外からの攻撃はガードすることが<br>できませんので注意しましょう。"""
text05#1,"""カタナの武器アクションについて、説明します。<br><br><%WeaponAction>を押すと<br>キャラクターは防御の姿勢をとります。<br>これがカタナの武器アクション『ガード』です。<br><br>敵から攻撃をガードすることで、<br>ダメージを軽減することができます。<br><br>ただし、正面以外からの攻撃はガードすることが<br>できませんので注意しましょう。"""
