un_057070_0001#0,"""A.P.241/11/15"""
un_057070_0010#0,"""はぁー……結婚かぁ……<br>いいですねぇ、憧れちゃいます……"""
un_057070_0020#0,"""……あっ！<br><%me>さん！<br>こんにちは！"""
un_057070_0030#0,"""ぼーっとしていてすみません！<br>少し想像にふけっていました！"""
un_057070_0040#0,"""<%me>さんも<br>聞きましたよね。<br>ゼノさんとエコーさんの結婚話！"""
un_057070_0050#0,"""お二人の噂はずーっと聞いていましたが<br>やっぱり改めてこういう話になると<br>わぁーってなっちゃいますー！"""
un_057070_0060#0,"""ストラトスも興味があるの？"""
un_057070_0070#0,"""嬉しい話だもんね"""
un_057070_0080#0,"""え……ええっとぉ……<br>まあ、私も女の子ですので……"""
un_057070_0090#0,"""って、何言わせるんですか！<br>私のことはいいんです！<br>お二人をめいっぱい祝いましょう！"""
un_057070_0100#0,"""はい！\u3000こういう嬉しい話は<br>無条件で人を笑顔にするんです！<br>ほんと、すごいと思います！"""
un_057070_0110#0,"""いずれは私も……とか<br>考えたりもしますけど！<br>けど、それはまだまだ先の話です！"""
un_057070_0120#0,"""私は努力して努力して努力して<br>皆さんに認められるぐらい頑張って<br>そして、いつかあの人に……"""
un_057070_0130#0,"""……って、わわわっ！<br>すみません！\u3000また余計なことを<br>口走っちゃっていました！"""
un_057070_0140#0,"""わ、忘れてください！\u3000今のは！<br>私はヒーローのために尽力します！<br>尽力するんです！\u3000はい！\u3000はい！！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
