un_061050_0010#0,"""……っ！<br>なんだ、お前か。"""
un_061050_0020#0,"""いいか、これから訪れる奴が<br>「“黒き狼”を見なかったか？」と<br>聞いてくるだろう。"""
un_061050_0030#0,"""それに対し、お前は……<br>「“黒き狼”なら、見なかった」<br>……と答えろ。さらばだ。"""
un_061050_0040#0,"""待てーっ！"""
un_061050_0050#0,"""あっ、こんにちは！<br>キョーくん、見ませんでしたか！？"""
un_061050_0060#0,"""“黒き狼”なら、見なかった。"""
un_061050_0070#0,"""キョーくんなら見た。"""
un_061050_0080#0,"""見てるじゃないですか！<br>キョーくん本人しか言ってませんよ<br>その「黒き狼」ってやつ！"""
un_061050_0090#0,"""ありがとうございます、恐縮です！<br>キョーくんのことだから、てっきり<br>口止めしてると思ってました！"""
un_061050_0100#0,"""なら、まだこの辺にいるはず……<br>よしっ！"""
un_061050_0110#0,"""こらーっ！\u3000キョーくーん！<br>いい加減、出てきてくださーい！<br>出てくるまで、叫びますよー！"""
un_061050_0120#0,"""クッ……"""
un_061050_0130#0,"""気配、消したって無駄ですよ！<br>キョーくんの行動パターンなんか<br>お見通しなんですから。"""
un_061050_0140#0,"""さあ、教えてください……<br>ヒーローの戦い方に足りないものって<br>いったい、何ですか……？"""
un_061050_0150#0,"""……断る。自分で考えるんだな。"""
un_061050_0160#0,"""三日三晩、寝ずに考えましたよ！<br>でも思いつかないから、こうして<br>お願いしてるんじゃないですか……"""
un_061050_0170#0,"""“影”が“光”を照らすことはできん。<br>俺から教えられることなど、何もない。"""
un_061050_0180#0,"""そんなことないですよ！<br>子供の頃は、よく私に学術を<br>教えてくれたじゃないですか！"""
un_061050_0190#0,"""私が理解しやすいように<br>色んな例を出して説明してくれるから<br>教え方が上手だって、ルコも……"""
un_061050_0200#0,"""……ルコ？<br>誰だ、そいつは。"""
un_061050_0210#0,"""えっ……？<br>な、なに言ってるんですか……<br>ルコが聞いたら、怒りますよ！"""
un_061050_0220#0,"""死んだ奴のことなど、忘れた。<br>お前も、早く忘れることだ。"""
un_061050_0230#0,"""し、死んでなんかいません！<br>今もどこかで、生きて……"""
un_061050_0240#0,"""ならば今すぐここへ連れてこい！<br>俺があいつを、殺してやる！"""
un_061050_0250#0,"""ど、どうして……<br>そんな酷いこと、言うんですか？"""
un_061050_0260#0,"""どんな苦しい時でも、私たち三人で<br>力を合わせよう、信じ合っていこうって<br>約束したじゃないですか……"""
un_061050_0270#0,"""知ったことか！<br>あの裏切り者が、俺たちに何をしたか<br>忘れたわけではあるまい！"""
un_061050_0280#0,"""何があった？"""
un_061050_0290#0,"""ルコって？"""
un_061050_0300#0,"""巻き込んでしまって、恐縮です。<br>これは私たちの、昔の話です……"""
un_061050_0310#0,"""ルコは……ルコットという<br>私のもうひとりの、大切な友人です。"""
un_061050_0320#0,"""私たち三人は、幼なじみです。<br>ともに学び、笑う最高の親友でした。"""
un_061050_0330#0,"""やがて、アークスになったルコは<br>おもてなし好きな優しいメイドさんに。<br>私も、そんなルコが大好きでした。"""
un_061050_0340#0,"""でも……今から、５年前。<br>ひとつの事件が起こったんです。"""
un_061050_0350#0,"""ある日、ルコから私とキョーくんに<br>「街外れの古いお屋敷にきてください」<br>という内容の招待状が届きました。"""
un_061050_0360#0,"""理由は書かれていなくて<br>ちょっと不思議に思いましたが……<br>翌日、私たちはお屋敷に向かいました。"""
un_061050_0370#0,"""ところが、お屋敷には誰もいなくて……<br>その日を境に、ルコは消息不明……<br>一切連絡が取れなくなりました。"""
un_061050_0380#0,"""私たちは、必死に消息を追いましたが<br>結局、アークスのデータベースでは<br>反応消失による死亡扱いに……"""
un_061050_0390#0,"""誰もいなかったどころではなかろう。<br>あいつは俺たちを屋敷におびき寄せ<br>罠に嵌めて、殺そうとしたんだぞ！"""
un_061050_0400#0,"""そんなはず、ありません！<br>お屋敷に呼び出したのも、姿を消したのも<br>なにか理由があったに決まってます！"""
un_061050_0410#0,"""フン……どうだかな。<br>下手な希望など、持たないことだ……<br>お前自身の首を絞めることになるぞ。"""
un_061050_0420#0,"""わかっています……でも。"""
un_061050_0430#0,"""おもてなしを大切にしていたルコが<br>私たちをあんな目に合わせるなんて<br>どうしても……思えないんです。"""
un_061050_0440#0,"""それに、ルコはキャストだし<br>すっごく力があって、頑丈なんです。<br>絶対に生きてます！"""
un_061050_0450#0,"""だから私、あきらめません！<br>いつか、ルコが帰ってきてくれた時に<br>笑顔で「おかえり」って言うんです！"""
